Ido	Esperanto	lingua Latina	français	English	日本語
abadala	abata, abateja	abbātiālis	abbatial	abbatial	
abatajaro			abattis, abatis	abatis, abattis, abbattis	逆茂木
abdomino	ventro	abdomen	ventre, abdomen, bedon, estomac, bide, brioche, panse	belly, abdomen, stomach, venter	腹, 腹部
abel-edukisto	abelbredisto		apiculteur	beekeeper, apiculturist	
abelo	abelo	apis	abeille	bee	ハチ, 蜂
Abidjan	Abiĝano		Abidjan	Abidjan	アビジャン
abieto	abio	abies	sapin	fir, fir tree	樅の木, モミ
ablativo	ablativo	ablativus, casus ablativus	ablatif	ablative	奪格
ableto			ablette	bleak, common bleak, ablet, ablen	
abomineso	malamego		horreur, aversion, répulsion, abomination, répugnance, exécration, nausée, écœurement	abhorrence, aversion, abomination, deep aversion, disgust, detestation	
abomino	malamego		horreur, aversion, répulsion, abomination, répugnance, exécration, nausée, écœurement	abhorrence, aversion, abomination, deep aversion, disgust, detestation	
abrikoto	abrikoto	armeniacum	abricot, prune d’Arménie, pomme d'Arménie, prune d'Arménie	apricot	杏子
absenteso	foresto		absence	absence	
abstrakta algebro	abstrakta algebro		algèbre générale	abstract algebra	抽象代数学
absurda	absurda		absurde	ludicrous, absurd	
Abuja	Abuĝo		Abuja	Abuja	アブジャ
acenso	supreniro		ascension, montée	ascent	登り
acidento	akcidento, malfelicxo		accident	accident	事故
adenito	adenito		adénite	adenitis	
adipocero			adipocire, gras de cadavre	adipocere, corpse wax, grave wax, mortuary wax	死蝋
adjektivo	adjektivo	verbum adiectum	adjectif	adjective, describing word	形容詞
administrado financala			gestion financière	financial management	
admiralaro	admiralejo		amirauté	admiralty	
admirinda	admirinda		admirable	admirable	
adolecotempo	adolesko, juneco	adulescentia	adolescence	adolescence, teenhood	
adreso	adreso		adresse, adresse, adresse	address, address, address	住所
Adriatiko	Adriatiko, Adria Maro	Mare Hadriaticum	Mer Adriatique	Adriatic Sea	アドリア海
adultero	adulto	adulterium	adultère	adultery, advowtry, philandery	不倫, 姦通, 私通
advento	advento	Adventus	Avent	Advent	
aero	aero	aer	air	air	空気, エア, 天空
aeroplano	avio, aviadilo, flugmaŝino; aviadilo	aeroplanum; aëroplanum	avion, aéroplane; appareil volant, aéronef	aeroplane, plane, bird, fixed-wing aircraft; aircraft	飛行機, 航空機; 飛行機, 航空機
Afganistan	Afganio		Afghanistan, République islamique d'Afghanistan, État islamique d’Afghanistan, État islamique d'Afghanistan	Afghanistan, Transitional Islamic State of Afghanistan	アフガニスタン
afidio	afido		puceron	aphid, plant lice	アブラムシ
Afrika	Afriko	Africa	Afrique, continent noir	Africa	アフリカ, 阿弗利加
Afrikansa	Afrikansa, afrikansa		afrikaans	Afrikaans	アフリカーンス語
agosto	aŭgusto, Aŭgusto	augustus, Augustus, augustus, sextilis	août, aout	August	八月, 葉月, 8月
agrafilo	agrafilo	consutorium	agrafeuse, brocheuse	stapler	ホッチキス, ステープラー, ホチキス
agro	kampo, kamparo	campus	champs, champ	field	原野, 畑, フィールド
agrokultivo	agrikulturo, terkulturo	agricultura	agriculture, agriculture	agriculture, agriculture	農業, 農業
akrostiko	akrostiko		acrostiche	acrostic	
aktiniumo	aktinio	actinium	actinium	actinium	アクチニウム
Al Manamah	Manamo		Manama	Manama	マナーマ
Alando	Alando		Îles Åland, Iles Åland, Åland, État libre associé d'Åland	Åland Islands	オーランド諸島
Albania	Albanio		Albanie, République d’Albanie	Albania, Republic of Albania	アルバニア
Albaniana			albanais, albanais standard	Albanian, Standard Albanian	アルバニア語
albergestro	albergisto, gastejestro, gastejestrino	copa	aubergiste	innkeeper	
albergo			auberge	inn	
alburno			aubier	sapwood, sap-wood, alburnum	
alfabeto	alfabeto	alphabetum, abecedarium	alphabet	alphabet	アルファベット
alio	ajlo	allium	ail, ail cultivé, ail commun, ail de cuisine, chapon, perdrix, thériaque des pauvres, thériaque des paysans	garlic	大蒜
Aljer	Alĝero	Algeria	Alger, La Blanche	Algiers	アルジェ
Aljeria	Alĝerio		Algérie, République algérienne démocratique et populaire	Algeria, People's Democratic Republic of Algeria	アルジェリア
alkemio	alkemio, alhxemio		alchimie	alchemy	錬金術
alko	alko	alcēs, alces	élan, orignal, orignal	moose, elk	ヘラジカ, 箆鹿
alopecio	alopecio		alopécie, pelade	alopecia, hair loss	脱毛
alternatoro	alternatoro		alternateur	alternator	オルタネーター
alteso			altesse	highness	
alumeto	alumeto		allumette	match, friction match	マッチ
aluminio	aluminio	aluminium	aluminium	aluminium	アルミニウム
Alzacia	Alzaco		Alsace	Alsace	アルザス地域圏
ambro	ambro		ambre gris	ambergris, grey amber, gray amber	竜涎香, 龍涎香, アンバーグリス
amento	amento		chaton, iule	catkin, ament	尾状花序
americio	americio	americium	américium	americium	アメリシウム, アメリシウム, アメリシウム, アメリシウム, アメリシウム
amfibio			batracien, amphibien	amphibian	両生綱, 両棲綱
amplitudo	amplekso		amplitude	aAmplitude, amplitude	振幅
Amsterdam	Amsterdamo		Amsterdam	Amsterdam	アムステルダム
anagramo	anagramo		anagramme	anagram	アナグラム
analitika filozofio	analiza filozofio	philosophia analytica	philosophie analytique	analytic philosophy	分析哲学
Andora	Andoro	Andorra	Andorre, Principauté d'Andorre	Andorra, Principality of Andorra	アンドラ
anelido	anelido		annélidé, annélide	annelid	環形動物
anemio	anemio	anaemia	anémie, aglobulie, pauvreté du sang	anemia, anaemia, anæmia	貧血, 貧血症
anestezio	anestezo	anaesthesia	anesthésie, insensibilisation		麻酔
aneto	aneto		aneth, fenouil bâtard, faux anis, fenouil puant, aneth odorant	dille, dill, anet	イノンド, 姫茴香, ディル
Anglia	Anglio		Angleterre	England	イングランド
Anguila	Angvilo		Anguilla	Anguilla	アンギラ
anguilo	angilo	anguilla	anguille	eel	鰻, ウナギ
anonima	anonima		anonyme	anonymous	
antidoto	kontraŭveneno		antidote, alexipharmaque	antidote, counterpoison	
antilopo	antilopa, antilopo		antilope	antelope	レイヨウ
antimonio	antimono	stibium	antimoine	antimony	アンチモン
antitezo	antitezo		antithèse	antithesis	
antologio	antologio		anthologie	anthology	アンソロジー
antonimo	antonimo		antonyme	antonym	対義語
antropometrio	antropometrio		anthropométrie	anthropometry	
anxio	anksieco	anxietas	anxiété	anxiety	不安
apartamento	cxambro		appartement	apartment	アパート, マンション
apertar	malfermi	aperire	ouvrir	open	開く
apoptozo			apoptose	apoptosis	アポトーシス
apparatchik			apparatchik	apparatchik	
april	aprilo, Aprilo	aprilis, Aprīlis, Aprilis	avril	April	四月, 卯月, 4月
aprilo	aprilo, Aprilo	aprilis, Aprīlis, Aprilis	avril	April	四月, 卯月, 4月
aquario	akvario	aquarium	aquarium	aquarium	水族館
aquo	akvo	aqua	eau	water	水
aquomelono			pastèque, melon d'eau	watermelon	スイカ
arab	araba	lingua Arabica	arabe, arabe standard moderne, arabe standard, arabe littéral	Arabic, Standard Arabic	アラビア語
Araba Peninsulo	Arabio	Arabia	Arabie	Arabian Peninsula, Arabia, Arabian subcontinent	アラビア半島
Arabia	Arabio	Arabia	Arabie	Arabian Peninsula, Arabia, Arabian subcontinent	アラビア半島
Arabiana	araba	lingua Arabica	arabe, arabe standard moderne, arabe standard, arabe littéral	Arabic, Standard Arabic	アラビア語
arakido	arakido, ternukso; ternukso	arachis	arachide, cacahuete, cacahouète, cacahuète, pinotte, pistache de terre; arachide, noix de terre, pois de terre	peanut, groundnut, earthnut, goober, pinda, jack nut, monkey nut; peanut, groundnut	ラッカセイ, 落花生, ピーナツ, ピーナッツ
arborala				arboreal	
arboro	arbo	arbor	arbre	tree	木, 樹木
argon	argono		argon	argon	アルゴン
argono	argono		argon	argon	アルゴン
Arizona	Arizona		Arizona	Arizona	アリゾナ州
Arjentinia	Argentino	Argentina	Argentine	Argentina, Argentine Republic	アルゼンチン
arjento	arĝento	argentum	argent	silver	銀
Arktika oceano	Arkta Oceano	Oceanus Arcticus	océan arctique, océan Arctique, océan Glacial arctique	Arctic Ocean, Arctic Sea	北極海, 北氷洋, 北極洋
Arktika Oceano	Arkta Oceano	Oceanus Arcticus	océan arctique, océan Arctique, océan Glacial arctique	Arctic Ocean, Arctic Sea	北極海, 北氷洋, 北極洋
Armenia	Armenio		Arménie, République d'Arménie	Armenia	アルメニア
Armeniana	armena		arménien	Armenian	アルメニア語
arseno	arseno, arseniko	arsenicum	arsenic	arsenic	ヒ素, 砒素
arteriito			artérite	arteritis	
arterio	arterio		artère	artery	動脈
arto		ars	art	art	技術, 芸術, アート, 美術
artrito	artrito		arthrite	arthritis	関節炎
Aruba	Arubo		Aruba	Aruba	アルバ
asekuro	asekuro		assurance	insurance	保険
asiejar	ĉirkaŭi, sieĝi		assiéger	besiege, beleaguer, beset, surround, circumvent, hem in	
asiejo			siège	siege	
asimptoto	asimptoto		asymptote	asymptote	漸近線
askaridiko			ascaridiose	ascariasis	回虫症
asno	azeno		âne, baudet, bourricot	donkey, ass	驢馬, ロバ
asomar			assommer, sonner	knock unconscious, knock out	
asparago	asparago	asparagus	asperge	asparagus	アスパラガス
aspiratoro	polvosuĉilo	polverem ablator	aspirateur, balayeuse, aspirateur électrique, aspi	vacuum cleaner, hoover, vacuum	掃除機
astatino	astato	astatinum	astate	astatine	アスタチン
astrocito			astrocyte	astrocyte	
astronomiala	astronomia		astronomique	astronomical, astronomic	
atitudo			attitude, état d'esprit, disposition	attitude, tendency, orientation, position, disposition	
atolo	atolo		atoll	atoll	
atuno	tinuso		thon	tunafish, tuna	tuinnín, マグロ, 鮪
audar	aŭdi	audire	entendre, ouïr	hear	聞く
Austria	Aŭstrio		Autriche, République d'Autriche	Austria, Republic of Austria	オーストリー, オーストリア
automobilo	aŭto, aŭtomobilo, ĉaro	autocinetum	automobile, voiture, bagnole	car, automobile	自動車, 車
autoro	auxtoro		auteur, écrivain	author, writer	
autoroyuro	aŭtorrajto kaj kopirajtaj monopoloj	ius auctorum	droit d'auteur	copyright	著作権
autostopar	petveturi		autostop, faire de l'autostop, faire du stop, faire de l'auto-stop, lever le pouce, faire du pouce	hitchhike, hitch, thumb, hitchhike, hitch, thumb, hitch a ride, thumb a lift, thumb a ride, hitch, hitchhike, thumb	ヒッチハイク
autotomio			autotomie	autotomy, self amputation	
autuno	aŭtuno	autumnus	automne	autumn	秋
avantajo	utilo, profito		avantage	advantage	
avara	avida, avara		avare	avaricious	
aveno	aveno	avena, avena sativa	avoine	oat, common oat	オートムギ, 烏麦, カラスムギ, 燕麦
avino	avino	avia	grand-mère, aïeule	grandmother, granny, grandma, grannie, nanna, nana	おばあさん, 祖母
Avogadro-fixo	konstanto de Avogadro		nombre d'Avogadro, constante d'Avogadro	Avogadro's Number	アボガドロ数, アボガドロ定数
Avogadro-nombro	konstanto de Avogadro		nombre d'Avogadro, constante d'Avogadro	Avogadro's Number	アボガドロ数, アボガドロ定数
avulo	avo	avus	grand-père, aïeul	grandfather	祖父, おじいさん
Azerbaijan	Azerbajĝano		Azerbaïdjan, République d'Azerbaïdjan	Azerbaijan, Republic of Azerbaijan	アゼルバイジャン
Azia	Azio	Asia	Asie	Asia	アジア
babilema			bavard, causant, loquace	talkative	
Bahama	Bahamoj		Bahamas	Bahamas, Commonwealth of the Bahamas, Bahama Islands	バハマ
Bahrain	Barejno		Bahreïn	Bahrain	バーレーン
balanco	pesilo	lībra, trutina, statēra	balance	scale, scales, weighing scale, balance	秤, 天秤
Baleariske Øer	Balearoj		Îles Baléares, Iles Baléares, Baléares	Balearic Islands	バレアレス諸島
baleno	baleno	balaena	baleine	whale	鯨
balistiko	balistiko		balistique	ballistiek, ballistics	弾道学
balnochambro	banejo, bancambro, banĉambro	balneum, lavacrum, balnearia	salle de bain, salle de bains	bathroom, bath, restroom	バスルーム, 浴室, 風呂場
baloneto	pilkego, pilko	pila	balle, ballon, ballon	ball	ボール
banano	banano		banane	banana	バナナ
Bangladesh	Bangladeŝo		Bangladesh, République populaire du Bangladesh	Bangladesh, People's Republic of Bangladesh	バングラデシュ
bankisto	bankiero		banquier	banker	銀行家
banko	banko		banque, établissement bancaire	bank	銀行
Barbados	Barbado	Barbata	Barbade	Barbados	バルバドス
barbisto	frizisto, barbiro		coiffeur, merlan	hairdresser, barber	美容師, 床屋
barbo	barbo	barba	barbe	beard	髭, 顎鬚, あごひげ, 鬚
bario	bario	barium	baryum	barium	バリウム
barografo	barografo		barographe	barograph	
basa	malalta		bas	low	低い
basamento	subetaĝo		sous-sol	basement	地下室
Baskiana	eŭska		basque	Basque, Basque 	バスク語
bebeo	bebo	infans	bébé, nourisson	baby, babe, infaneto, infant	赤ちゃん, 赤ん坊
Belgia	Belgio		Belgique, Royaume de Belgique	Belgium, Kingdom of Belgium	ベルギー
Belize	Belizo		Belize, Bélize	Belize	ベリーズ
Belmopan	Belmopano		Belmopan	Belmopan	ベルモパン
Benin	Benino, Benino	Beninum	Bénin, Bénin	Benin, Benin, Republic of Benin	ベナン, ベナン
benko	banko, benko		banc	bench	ベンチ
berenjena		melongena	aubergine	brinjal, aubergine, eggplant	茄子
berenjeno		melongena; melongena	aubergine; aubergine, mélongène, mélongine, albergine, ambergine, beringène, bréhéme, bringèle, marignan, mayenne, melanzane, mérangène, méringeane, verinjeane, viadase	brinjal, aubergine, eggplant; aubergine, eggplant, brinjal	茄子; 茄子
berilio	berilio	beryllium	béryllium	beryllium, glucinium	ベリリウム
berkelio	berkelio	berkelium	berkélium	berkelium	バークリウム
bero	bero		baie	berry	ベリー
betravo	ruĝa beto		betterave, betterave rouge	beetroot, table beet, garden beet, red beet, beet	ビートの
Bhutan	Butano		Bhoutan	Bhutan, Kingdom of Bhutan	ブータン
biblioteko	biblioteko	bibliotheca	bibliothèque, librairie	library	図書館
biciklo	biciklo	birota	bicyclette, vélo, petite reine	bicycle, bike, cycle	自転車
binoklo	okulvitroj	perspicillum	lunettes	glasses, spectacles, eyeglasses	眼鏡
Birmingham	Birmingham		Birmingham	Birmingham	バーミンガム
bismuto	bismuto	bisemutum	bismuth	bismuth	ビスマス
blanka	blanka, blanko; blanka	albus; albus	blanc; blanc	white; white	白い, 白; 白い
blanko	blanka, blanko	albus	blanc	white	白い, 白
blato	blato	blatta	cafards, cafard, blatte, cancrelat, coquerelle	cockroach	ゴキブリ
blogo	blogo		blog	blog, weblog, web log	ブログ
boko			bouche	mouth	口
Bolivia	Bolivio		Bolivie	Bolivia, Republic of Bolivia	ボリビア
bonveno	bonvenon	salve	bienvenue	welcome	ようこそ
bopatro	bopatro	socer	beau-père	father-in-law	舅, 義父
borono	boro	borium	bore	boron	ホウ素
Botswana	Bocvano		Botswana	Botswana, Republic of Botswana	ボツワナ
Bouvet Insulo	Buvetinsulo		Île Bouvet	Bouvet Island	ブーベ島
boyo		attollo	balise, bouée	buoy	ブイ, 浮標
braceleto	braceleto, ĉirkaŭmano, brakringo	brachiale, armilla, viria	bracelet	bracelet, wristlet	ブレスレット, 腕輪
brakio	brako	brachium, bracchium	bras	arm	腕
Brazil	Brazilo		Brésil	Brazil	ブラジル
bretelo	ŝelko		bretelle		サスペンダー
brocho	broĉo		pin's, broche	pin, badge, breastpin	ブローチ
brodar			broder	embroider	
bromo	bromo	bromum	brome	bromine	臭素
bruna	bruno		brun, marron, châtain	brown	茶色, 褐色
Brunei	Brunejo		Brunei, Brunéi Darussalam	Brunei, Negara Brunei Darussalam	ブルネイ
brutala	bruta		brutal	brutal	
Bruxel	Bruselo	Bruxellae	Bruxelles	Brussels	ブリュッセル
budjeto	buĝeto		budget	budget	予算
bujio	kandelo	candela	bougie, chandelle	candle	ろうそく
Bulgaria	Bulgario		Bulgarie, République de Bulgarie	Bulgaria, Republic of Bulgaria	ブルガリア
bulimio	bulimio		boulimie	bulimia, bulimia nervosa	神経性大食症
bumerango	bumerango		boomerang	boomerang	ブーメラン
burjono	burĝono		bouton, bourgeon	bud	蕾
Burkina Faso	Burkino		Burkina Faso, Burkina	Burkina Faso	ブルキナファソ
Burundi	Burundo		Burundi	Burundi, Republic of Burundi	ブルンジ
butiko	butiko, vendejo	taberna	magasin, boutique	store, boutique, retail outlet	店, 商店
butoro	botaŭro		butor	bittern	
butro	butero	butyrum	beurre	butter	バター
Canberra	Kanbero		Canberra	Canberra, Canberra, Canberra	キャンベラ, キャンベラ, キャンベラ
celerio	celerio	apium	céleri, ache des marais, persil des marais, cèleri	celery	セロリ
cembro	cembro		pin cembro, pin cembrot, pin des Alpes	Swiss pine, Swiss stone pine, Arolla pine	
cent	cent	centum	cent	hundred, one hundred	百
centauro	centaŭro	centaurus	centaure	centaur	ケンタウロス
centrifugilo	centrifugilo		centrifugeuse	centrifuge	
ceptro			sceptre	sceptre	
cerio	cerio	cerium	cérium	cerium	セリウム
cerizo	ĉerizo	cerasum	cerise	cherry	桜ん坊, 桜桃, さくらんぼ
cerumeno	cerumeno, orelvakso	cerumen	cérumen, cire de l'oreille	earwax, cerumen	耳垢
cervino	cervino	cerva	biche	doe, hind	麀
cervo	cervo	ceruus, cervus	cerf, cerf élaphe	deer	鹿
cesio	cezio	caesium	césium	caesium	セシウム
cetonio orea	ora cetonio		cétoine dorée, cétoine doré, hanneton des roses	rose chafer, green rose chafer	バラコガネムシ
Chad	Ĉado		Tchad	Chad, Republic of Chad	チャド
chambro	ĉambro		pièce, chambre, salle, pièce, salle	room	部屋
chapelo	ĉapelo	galerus, galerum	chapeau	hat	帽子, ハット
chasado	ĉasado	venatio	chasse	hunting, hunt	狩り, 狩猟
chef-urbo	ĉefurbo		capitale	capital	首都
Chekia	Ĉeĥio		Tchéquie, République tchèque	Czechia, Czech Republic	チェコ
chera	multekosta	pretiosus, carus	couteux, cher, coûteux, reuch	costly, expensive, dear	高い
chikungunya	ĉikungunjo		chikungunya, chik	chikungunya	
Chili	Ĉilio		Chili	Chile, Republic of Chile	チリ
chiniono			chignon	chignon, bun	シニヨン
chipa	malmultekosta	vilis	bon marché, pas cher	cheap, economic, inexpensive	安い
Chipro	Kipro; Kipro	Cyprus	Chypre, République de Chypre; Chypre	Cyprus, Republic of Cyprus; Cyprus	キプロス
ciel-arko	ĉielarko	arcus	arc-en-ciel	rainbow	虹
cielo	ĉielo	caelum	ciel	sky	空
ciencala kunlaboro			coopération scientifique	scientific co-operation	
cigno	cigno	cygnus	cygne	swan	鵠, 白鳥
cikatro	cikatro	cicatrix	cicatrice, balafre	scar, cicatrice	瘢痕, 傷
cikloido	cikloido		cycloïde	cycloid	
cinemo	kinejo		cinéma, ciné, cinoche	cinema	映画館
cirko	cirko		cirque	circus	サーカス, 曲馬団, 曲芸
citologio	citologio		cytologie, biologie cellulaire	cytology, cell biology	細胞学
citrono	citrono		citron	lemon	レモン
civilizeso	civilizo		civilisation	civilisation, civilization	文明
civito	urbo, civito	urbs, civitas	ville	city	都市
cizo	tondilo	axicia, forfex	ciseaux, paire de ciseaux	scissors, pair of scissors	はさみ, 鋏
Cook-Insuli	Kukinsuloj		Îles Cook	Cook Islands	クック諸島
Dakar	Dakaro		Dakar	Dakar	ダカール
Dania	Danio	Dania	Danemark	Denmark, Kingdom of Denmark	デンマーク
Daniana	dana		danois	Danish	デンマーク語
danjeroza substanco			matière dangereuse	hazardous substance	
danko	dankon		merci	thank you, thanks, cheers	ありがとうございます
dansar	danci	saltare	danser	dance	踊る, ダンスする
danso	danco	saltatio, tripudium, saltatus	danse	dance	踊り
dateliero	daktilopalmo		palmier-dattier, dattier, dattier cultivé	date palm, date palm tree	ナツメヤシ
datelo	daktilo	palmula	datte	date	
debila		infirmus	faible	weak	弱い
decembro	decembro, Decembro	december, December	décembre	December	十二月, 師走, 12月
decigramo		decigramma	décigramme	decigram	
decimacar			décimer	decimate	
decimetro	decimetro	decimetrus	décimètre	dm	
defino			définition	Definition, definition	定義, 語義
deino		dea	déesse	goddess	女神, めがみ
dejuneto	matenmango	prandium, ientāculum	petit-déjeuner, repas du matin, déjeuner, petit-déjeuner, petit déjeuner	breakfast	朝食
dek	dek	decem	dix	ten	十
dek ed ok	dek ok	duodēvīgintī	dix-huit	eighteen	十八
dek-e-sep	dek sep	septendecim	dix-sept	seventeen	十七
dekesma	deka	decimus	dixième, 10ème, 10e	tenth, 10th	十番目
dekimo		decimum	dixième	tenth, 10th	
dekreto			décret, décret	decree	
demokratio	demokratio	imperium populi, democratia	démocratie	democracy	民主主義, 民主, デモクラシー
demonstrar			démontrer	demonstrate	
dento	dento		dent	tooth, molar	歯
denuncanto			lanceur d'alerte, dénonciateur	whistleblower, whistle-blower, whistle blower	内部告発者
denuncero			lanceur d'alerte, dénonciateur	whistleblower, whistle-blower, whistle blower	内部告発者
denuncinto			lanceur d'alerte, dénonciateur	whistleblower, whistle-blower, whistle blower	内部告発者
deo		deus	divinité, dieu	deity, divinity, god	
des-plas-izar	moviĝi	moveo	se mouvoir, se déplacer, bouger	move	動く
desegnar	desegni		dessiner	draw	描く
desfortunoza			infortuné, malchanceux	unfortunate, malheureux	
dessapora			insipide	tasteless, insipid, bland, flavourless, flavorless	
detersivo			détergent	detergent	洗剤
dezirar	voli	volare, desiderare	vouloir	want	欲しい
diagramo	diagramo		diagramme	diagram	ダイアグラム
dialekto	dialekto		dialecte	dialect	方言
digramo	digrafo, digramo		digramme	digraph, digram	二重音字
diktatoro	diktatoro		dictateur	dictator, dictator	独裁者
dilemo	dilemo		dilemme	dilemma	
dinamo	dinamo		dynamo	dynamo, dynamo-electric machine	
diocezo	diocezo; diocezo; diocezo		diocèse, diocèse, diocèse, évêché; diocèse, diocèse, diocèse, évêché; diocèse, diocèse, diocèse, évêché	diocese, diocese, diocese, bishopric; diocese, diocese, diocese, bishopric; diocese, diocese, diocese, bishopric	教区; 教区; 教区
dislexio			dyslexie	dyslexia	ディスレクシア
disprozio	disprozio	dysprosium	dysprosium	dysprosium	ジスプロシウム
distanta	malproksime, fora	procul, remotius	loin, lointain, éloigné	far	遠い
ditirambo	ditirambo		dithyrambe	dithyramb	ディテュランボス
divenar	iĝi, fariĝi	fieri	devenir	become, turn	なる
diversigar				variegate	
divorco	divorco		divorce	divorce	離婚
Djibouti	Ĝibutio		Djibouti, Pays des Braves, République de Djibouti	Djibouti, Republic of Djibouti	ジブチ
dodoo	dodo, dronto		dodo, dronte de Maurice, dronte	dodo	ドードー
Doha	Dohao, Doho		Doha	Doha	ドーハ
doktrinala	doktrina		doctrinaire, doctrinal	doctrinal	
dolo	fraŭdo		escroquerie	fraud, cheating	
domajar	damaĝi		endommager	damnify	
Dominika	Dominiko		Dominique	Dominica, Commonwealth of Dominica	ドミニカ
Dominikana Republiko	Domingo		République dominicaine	Dominican Republic	ドミニカ共和国
domo	domo	domus	maison, domicile	house, home, home, dwelling	家
donacajo	dar, donaco	donum, munus	cadeau, présent, don	gift, present	贈り物, プレゼント, ギフト
donar	doni	dare	donner	give	あげる
dormar	dormi	dormire	dormir, pioncer, faire dodo, faire dodo	sleep, rest, kip, slumber	眠る, 寝る
dormo-chambro	dormoĉambro	cubiculum	Chambre à coucher, Chambre, chambre, chambre à coucher, piaule	bedroom, sleeping room, chamber, bedchamber	寝室, ベッドルーム
doto	doto	dos	dot	dowry, trousseau, tocher	持参金
dozo tro-forta			surdose, overdose	overdose	オーバードーズ
drako	drako	draco	dragon	dragon	龍, 竜, ドラゴン
drinkajo	trinkaĵo		boisson, consommation, breuvage	beverage, drink, drink, drinkable, potable	飲み物, 飲料, ドリンク
drinkar	trinki	bibere	boire	drink, gulp, quaff, sip	飲む
drinkopekunio			donner un pourboire, verser un pourboire	tip	
dronto	dodo, dronto		dodo, dronte de Maurice, dronte	dodo	ドードー
du	du; du	duo, duae	deux; deux	two; two	二; 二
duadek	dudek	viginti	vingt	twenty, score, score	二十
duno	duno		dune de sable, dune	sand dune	砂丘
duopla stelo			étoile binaire	binary star	連星
duparta			biparti	bipartite	
durstar		sitīre	avoir soif	thirst, be thirsty	
durstoza	soifi	sitiens, siccus	assoiffé	thirsty	喉が乾いた
dushar			doucher	shower	
ebulioskopo			ébullioscope, ébulliomètre	ebullioscope	
edukar			éduquer	educate	
egaligo			égalisation	equalization	
Egiptia	Egiptio		Égypte	Egypt, Arab Republic of Egypt	エジプト
Eiffel Turmo	Eiffel-Turo		tour Eiffel, dame de fer	Eiffel Tower	エッフェル塔
ekino	eĥino		oursin, châtaigne de mer, hérisson de mer, échinidé	sea-urchin, urchin, sea urchin, hurcheon	ウニ, 海胆, 雲丹
ekonomiko	ekonomiko	oeconomia	science économique, économie	economics, economic science	経済学
ekzemo	ekzemo		eczéma	eczema	湿疹
Elbe	Elbo	Albis	Elbe	Elbe	エルベ川
elefanto	elefanto	elephantus	éléphant	elephant	象
elekto	elekto, balotado		élection	election	選挙, 選任, 選出
elektro	elektro	electricitas	électricité	electricity	電気
elektronala			électronique	electronic	電子
elektronika			électronique	electronically, electronic	
elektrono	elektrono	electron	électron	electron	電子
emuo	emuo		émeu, émoe	emu	エミュー
en kazo ke			au cas où	in case	
energio			énergie	energy	エネルギー
enirar	eniri		entrer	enter, go in	入る
enoyiganta			ennuyeux, ennuyant, chiant, barbant	boring, tedious, dull	退屈な, つまらない
enoyigiva			ennuyeux, ennuyant, chiant, barbant	boring, tedious, dull	退屈な, つまらない
enterigeyo	tombejo, enterigejo	sepulcretum	cimetière	cemetery, churchyard, cœmetery, graveyard, burial ground	墓地, ぼち
enterito			entérite	enteritis	
entraprezisto	entreprenisto		entrepreneur	entrepreneur	
envio			envie	hangnail, agnail	ささくれ
Eolia-insuli	Liparaj insuloj, Eolaj Insuloj		îles Éoliennes, îles Lipari	Aeolian Islands, Lipari Islands	エオリア諸島
