Ido	Esperanto	lingua Latina	français	English	日本語
epicentro	surcentro		épicentre	epicentre, epicentre, epicenter	震源地, 震央, 震源
epicikloido	cikloido		cycloïde, épicycloïde	epicycloid	
epifizo			épiphyse	epiphysis	
epigramo	epigramo	pigramma	épigramme	epigram	エピグラム
epilepsio	epilepsio	epilepsia	épilepsie	epilepsy	てんかん
epistemologio	sciteorio, epistemologio	epistemologia	épistémologie	epistemology	
epizootio	epizootio		épizootie	epizootic	
eponimo	eponimo		éponymie	eponym	名祖
equaciono	ekvacio		équation	equation	方程式
Equador	Ekvadoro	Aequatoria	Équateur	Ecuador, Republic of Ecuador	エクアドル
Equatorala Guinea	Ekvatora Gvineo	Guinea Aequatorensis	Guinée équatoriale	Equatorial Guinea, Republic of Equatorial Guinea	赤道ギニア
equatoro	ekvatoro		équateur	equator	赤道
erbio	erbio	erbium	erbium	erbium	エルビウム
ergotismo	ergotismo	ignis sacer	ergotisme, mal des ardents, feu de Saint-Antoine	ergotism, ergotoxicosis, ergot poisoning, Saint Anthony's Fire	
Eritrea	Eritreo		Érythrée	Eritrea	エリトリア
ermit-krabo			bernard-l'ermite	hermit crab	ヤドカリ
espadofisho	spadofiŝo		espadon	swordfish	メカジキ
Esperanto	Esperanto	Lingua Esperantica, Lingua Zamenhofiana	espéranto	Esperanto, Esperanto	エスペラント, エスペラント語
Espo	Esperanto	Lingua Esperantica, Lingua Zamenhofiana	espéranto	Esperanto, Esperanto	エスペラント, エスペラント語
esto	oriento	oriens	est	east	東
Estonia	Estonio		Estonie	Estonia, Republic of Estonia	エストニア
etimologiisto			étymologiste	etymologist	
Etiopia	Etiopio	Aethiopia	Éthiopie	Ethiopia, Federal Democratic Republic of Ethiopia	エチオピア
etologiala			éthologique	ethological	
etologio	etologio		éthologie	ethology	動物行動学
eufemismo			euphémisme	euphemism	
Europa	Eŭropo	Europa	Europe	Europe	欧州, ヨーロッパ
europio	eŭropio	europium	europium	europium	ユウロピウム
Evangelio	Evangelio	Evangelium	évangile, Évangile	gospel	福音書
evo	agxo	natus, aetas	âge	age	年齢
exkavuro			débri, déblai	rubble	
exoplaneto	ekzoplanedo, ekstersunsistema planedo, ekstersuna planedo		exoplanète, planète extrasolaire	exoplanet, extrasolar planet	太陽系外惑星
expanso			expansion	expansion	
exterlande	eksterlande		à l'étranger	abroad	
extingo-signalo	elirmalpermeso		couvre-feu	curfew	夜間外出禁止令
fabrikerio	fabriko		usine	factory, factory	工場
facila	facila	facilis	facile, aisé, élémentaire, simple, fastoche	easy, piece of cake, like shooting fish in a barrel, convenient, simple	簡単な
Faero	Ferooj	Insulae Faeroae	Îles Féroé, Iles Féroé	Faroe Islands	フェロー諸島
fair-interdikto	elirmalpermeso		couvre-feu	curfew	夜間外出禁止令
fairo	fajro	ignis	incendie, feu	fire	火
fakochero	fakoĉero		phacochère, phacochère commun	warthog, common warthog	
Falklandi	Falklandoj	Insulae Malvinae	Malouines, îles Falkland	Falkland Islands	フォークランド諸島
familio	familio		famille	family	家族
famino	malsatego		famine	famine	飢饉
farino	faruno	farina	farine	flour, meal	粉
faro	lumturo	pharus	phare	lighthouse	灯台
fatigita	laca	fessus	fatigué, las	tired, aweary, weary	疲れた
febla		infirmus	faible	weak	弱い
febro	febro	febris	fièvre	fever, pyrexia	熱病, 熱
februaro	februaro, Februaro	februarius, februārius, Februarius	février	February	月, 二月, 如月, 2月
federalismo	federaciismo, federalismo, federismo	sociendarum civitatum doctrina	fédéralisme	federalism	連邦主義
felgo			jante	wheel rim, rim	
felica	feliĉa	laetus	content, heureux, content	happy, glad	嬉しい, うれしい
feminalo			féminin	female, feminine	女性
fenikulo	fenkolo	faeniculum	fenouil, fenouil commun	fennel	フェンネル
fero	fero	ferrum	fer	iron	鉄
ferro	fero	ferrum	fer	iron	鉄
filiino	filino	filia, nata	fille	daughter	娘
Filipini	Filipinoj	Philippinae	Philippines	Philippines, Republic of the Philippines	フィリピン
filmo	filmo		film, pellicule	film, movie, motion picture	映画
filmografio			filmographie	filmography	
filologio	filologio		philologie	philology	文献学
filozofio	filozofio	philosophia	philosophie	philosophy	
fingro	fingro	digitus	doigt, doigt, doigt	finger	指, 指
Finlandana	finna		finnois	Finnish	フィンランド語
fisho	fiŝo	piscis	poisson	fish	魚
fiziognomonio			physiognomonie	physiognomy	
flarado			olfaction, odorat	olfaction, sense of smell	
flava	flava; flava	flavus; flāvus, flavus	jaune; jaune	yellow; yellow	黄色い; 黄色
flebito				phlebitis	
floro	floro	flos	fleur	flower, bloom, blossom	花, はな, 華
fluoro	fluoro	fluor	fluor	fluorine	フッ素
fonetiko	fonetiko		phonétique	phonetics	音声学
fonteno			fontaine	fountain	噴水
fontenoplumo	fontplumo, fontoplumo		stylo-plume, stylo à plume, stylo plume, stylo, plume, stylographe, plume-fontaine	vulpen, fountain pen	万年筆
foresto	arbaro, forsto	silva	forêt	forest	森, 森林, 森林
forketo		furca	fourchette	fork	フォーク
formaco di vorti	vortfarado		formation des mots	word formation	造語法
forsan	eble	fortasse, forsitan, fors, forsit, forte, forsan, fortassis	peut-être, éventuellement, possiblement	maybe, perhaps, mayhap, perchance, possibly, peradventure, ablins, aiblins	かもしれない, かも, 多分, 若しや, でしょう, 恐らく, もしかして, ひょっとして
fortuno	bonŝanco	fortuna	chance	luck, good luck, fortune, luck	シャーンス
forumo	forumo		forum	newsgroup	ニュースグループ, フォーラム, 伝言板
fosfo	fosforo	phosphorus	phosphore	phosphorus	燐
fotografala			photographique	photographic	
fotografar	foti		photographier, prendre une photo	photograph, take a picture	写真を撮る
fotografuro	foto		photo, photographie	photograph, photo	写真
fotometria				photometry	
fragea				strawberry, strawberry red	苺色
fragiero		fragum	fraisier	strawberry plant, strawberry	
frago	frago	fragum, frāgum	fraise	strawberry	苺, イチゴ
Franca Polinezia	Franca Polinezio		Polynesie Francaise, Pays d'outre-mer de la Polynesie Francaise, Polynésie française, Pays d'outre-mer de la Polynésie Française	French Polynesia	フランス領ポリネシア
Francia	Francio		France	France	フランス, 仏蘭西, フランス
Franciana	franca lingvo, franca	lingua Francogallica	français	French, French	フランス語
francio	franciumo	francium	francium	francium	フランシウム
frigorizilo	malvarmujo, fridujo		réfrigérateur, frigidaire, frigo	fridge, refrigerator	冷蔵庫
fronto	frunto	frōns	front	forehead	額, おでこ
fru-dejuneto	matenmango	prandium, ientāculum	petit-déjeuner, repas du matin, déjeuner, petit-déjeuner, petit déjeuner	breakfast	朝食
frue	frue		tôt	early	早い
frumento	tritiko	triticum	blé	wheat	コムギ, 麦
fumar	fumi		fumer	smoke	飲む
fumo	fumo	fumus	fumée	smoke	煙
funelo			entonnoir	funnel	漏斗
futbalo	futbalo	pediludium	football, foot	football, association football	サッカー
fyordo	fjordo	fiordum	fjord, fiord	fjord, fiord	フィヨルド
Gabon	Gabono		Gabon	Gabon, Gabonese Republic	ガボン
Gaborone	Gaborono		Gaborone	Gaborone	ハボローネ
gadolino	gadolinio	gadolinium	gadolinium	gadolinium	ガドリニウム
galio	galiumo	gallium	gallium	gallium	ガリウム
Galisiana			galicien	Galician, Galician	ガリシア語
Gambia	Gambio, Gambio, Gambio, Gambio		Gambie, Gambie, Gambie, Gambie, Gambie, Gambie, Gambie	Gambia, Gambia, Gambia, Gambia, The Gambia, Republic of The Gambia	ガンビア
gambo	kruro	crus	jambe	leg, pin	足, 脚, 足
ganar	venki	vinco	vaincre, gagner	win	勝つ
gangreno	gangreno		gangrène	gangrene	
Ganimede	Ganimedo		Ganymède	Ganymede	ガニメデ
ganto	ganto		gant	glove	手袋
gazolino		benzinium	essence, gaz	petrol, gas, gasoline, petrol	ガソリン
genealogiala			généalogique	genealogical	
genealogiisto		genealogistus	généalogiste	genealogist	
geologio	geologio	geologia	géologie	geology	地質学
Georgia	Georgio; Kartvelio		Géorgie; Géorgie	Georgia; Georgia	ジョージア; グルジア
Georgiana	kartvela		géorgien	Georgian, Georgian	グルジア語
germanio	germaniumo	germanium	germanium	germanium	ゲルマニウム
Ghana	Ganao	Gana	Ghana	Ghana, Republic of Ghana	ガーナ
giboza			grumeleux	lumpy	
Gibraltar	Ĝibraltaro		Gibraltar	Gibraltar	ジブラルタル
gilotino	gilotino		guillotine	guillotine, guillotine, guillotine	ギロチン
ginekologio	ginekologio		gynécologie	gynaecology, gynecology	婦人科学
glaciera			glaciaire	glacial	
glacierala			glaciaire	glacial	
glaciero	glaĉero	glaciarium	glacier	glacier	氷河
glacio	glacio	glacies	glace	ice	氷
glia celulo	glia ĉelo		cellule gliale	glial cell, neuroglia, glia	
gluo	gluo	gluten	adhésif, colle	adhesive, glue	粘着物, 接着剤, アドヒーシブ
gobio			goujon	gudgeon	
golfo	golfo		golf	golf	ゴルフ
grafito	grafito	plumbago	graphite	graphite	石墨, グラファイト
grafologio	grafologio		graphologie	graphology	筆跡学
granda		magnus	grand	great	
granit	granito		granite	granite	花崗岩
gratifiketo			donner un pourboire, verser un pourboire	tip	
grava	peza	gravis	lourd, pesant, pondéreux	heavy	重い
Grekia	Grekio		Grèce	Greece, Hellenic Republic	ギリシア
Grekiana	greka		grec	Greek, Greek	ギリシア語
greluno	hajlo	grando	grêle	hail	ひょう, 雹
Grenada	Grenado	Granata	Grenade	Grenada	グレナダ
Grenlando	Groenlando		Groenland	Greenland	グリーンランド
griza	griza		gris	grey, gray	灰色
grozelo			groseille à maquereau	gooseberry	グーズベリー
Guadelupe	Gvadelupo		Guadeloupe	Guadeloupe	グアドループ島
Guam	Gvamo	Guama	Guam	Guam, Guam, Guam	グアム
gudro	gudro		goudron	tar	乾留液
Guernsey	Guernsey		Bailliage de Guernesey, Guernesey	Guernsey, Balliwick of Guernsey, island of Guernsey	ガーンジー島
Guinea	Gvineo	Guinea	Guinée, République de Guinée	Guinea, Republic of Guinea	ギニア
Guinea Bisau	Gvineo-Bisaŭo	Guinea Bissaviensis	Guinée-Bissao, Guinée-Bissau	Guinea-Bissau, Republic of Guinea-Bissau	ギニアビサウ
gustar	gustumi	gustare	goûter	taste	味わう, 嘗める, 味見する
guto			goutte	drop	滴
Guyana	Gujano	Guiana	Guyana	Guyana, Republic of Guyana	ガイアナ
hafnio	hafnio	hafnium	hafnium	hafnium	ハフニウム
Haiti	Haitio		Haïti, République d'Haïti	Haiti, Republic of Haiti	ハイチ
Hamilton	Hamiltono	Bermuda	Hamilton	Hamilton	ハミルトン
hamstro	hamstro		hamster	hamster	ハムスター
hancho			hanche	hip	ヒップ
hastar	kuri	currere	courir	run	走る
Hebridi			Hébrides	Hebrides	
hefo			levain, levain panaire	sourdough	サワードウ
helio	heliumo	Helium, helium	hélium	helium	ヘリウム
helminto			helminthe	parasitic worm, helminth	
helpar	helpi	adiuvare	assister, aider	assist, help, aid, chip in	手伝う, 助ける
helpo	helpo	auxilium	aide	help, aid, relief, ministration	助け, 手助け, 手伝い, ヘルプ
hemofilio	hemofilio		hémophilie	haemophilia, hemophilia, hæmophilia, bleeder's disease, Christmas disease	血友病
herbo		herba	herbe	herb	ハーブ
herdo	fajrejo	camīnus, focus	cheminée, âtre, foyer	fireplace	暖炉
heroeno	heroino	heroinum	héroïne	heroin	ヘロイン
heroo	heroo	heros	héros	hero	ヒーロー
hidrogeno	hidrogeno	hydrogenium	hydrogène	hydrogen	水素
hieno			hyène	hyena	
higroskopo			hygroscope	hygroscope	
hirundo	hirundo	hirundo	hirondelle	swallow	燕, ツバメ
Hispaniana	Hispana, hispana		espagnol, castillan, castillan	Spanish, Castilian, Spanish	スペイン語
historio	historio		histoire	history	歴史学
hivernar			hiberner	hibernate	冬眠する
hodie	hodiaŭ	hodie	aujourd'hui	today	今日, きょう, 本日
holmio	holmio		holmium	holmium	ホルミウム
homeosexuala	samseksema		homosexuel	homosexual	
homino	Virino	mulier, femina	femme, meuf, gonzesse, nana, bonne femme	woman, female	女, 女
homonimo	homonimo		homonyme	homonym	同音異義語
Honduras	Honduro		Honduras, République du Honduras	Honduras, Republic of Honduras	ホンジュラス
Hong Kong			Hong Kong	Hong Kong	香港
honoro	honoro	honos	honneur		名誉
hordeo	hordeo	hordeum	orge	barley	オオムギ
horo	horo	hora	heure	hour	時, 時間
hospitalo	malsanulejo, hospitalo	nosocomium, nosocomīum, valētūdinārium	hôpital, hosto	hospital, clinic, sickhouse	病院, 医院
hotelo	hotelo	deversorium	hôtel	hotel	ホテル, 旅館
humuristo	komikisto	poëta comicus	comédien, comique, humoriste	comic, comedian	コメディアン, お笑い芸人
hundo	hundo		chien	dog	犬
Hungaria	Hungario		Hongrie	Hungary, Republic of Hungary	ハンガリー
huo	noktuo		chevêche d'Athéna, chouette chevêche	little owl	コキンメフクロウ
Ido			ido	Ido, Ido	イド語
ikonoklasto			iconoclaste	iconoclast	
Ileono	Ileo		iléon	ileum	回腸
imitar	kopii		imiter, copier, photocopieur	copy, copiar, imitate	
implozo			implosion	implosion	爆縮
indio	indio	indium	indium	indium	インジウム
individuo	individuo		individu	individual	個人
Indonesia	Indonezio		Indonésie, République d'Indonésie	Indonesia, Republic of Indonesia	インドネシア
industrio			industrie	industry	産業
infanteto	bebo	infans	bébé, nourisson	baby, babe, infaneto, infant	赤ちゃん, 赤ん坊
infantulo	knabo	puer, adulescens, catulaster	garçon	boy	男の子
infektar	infekti	inficere	infecter, contaminer	infect	感染
infekto	infekto	infectio, contagium	infection	infection, contagion	感染症
infinitivo			infinitif	infinitive	不定詞
Infra-Saxonia	Malsupra Saksio		Basse-Saxe	Lower Saxony	ニーダーザクセン州
Ingushia	Inguŝio		République d'Ingouchie, Ingouchie	Ingushetia, Republic of Ingushetia	イングーシ共和国
injenior-arto trafikala			génie de l'infrastructure routière	traffic engineering	
inquiziciono	inkvizicio		inquisition	inquisition	異端審問
instruktar	instrui, lernigi	docere	enseigner	teach	教える
instruktisto	instruisto	magister, docens, doctor	professeur	teacher	先生
insulo	insulo	insula	île, ile	island, isle	島
inter	inter		entre	between	間
interdiktar	malpermesi	interdicere	interdire, défendre	forbid, disallow, prohibit, interdict, proscribe, veto, nix	
interesanta	interesa		intéressant	interesting	興味深い, 面白い
interna cirkumajo			environnement intérieur	indoor environment	
Internacionala Organizuro por Normizado	Internacia Organizaĵo por Normigado		Organisation internationale de normalisation	International Organization for Standardization, ISO	国際標準化機構, ISO
inundar			inonder	inundate, flood	
invadar	invadi		envahir	invade	
iodo	jodo	iodium	iode	iodine	ヨウ素
iracoza	kolera	iratus	fâché, en colère, irrité, énervé, courroucé, excédé, furibond, furieux, hors de soi	angry, mad	怒った
Iran	Irano		Iran, République Islamique d' Iran, République Islamique d'Iran	Iran, Islamic Republic of Iran	イラン, イラン・イスラム共和国
irar	iri	eō, vādō, gradior	marcher, promener	walk, wandelen, wandelen	歩く
iridio	iridio	iridium	iridium	iridium	イリジウム
Irlandana	irlanda		irlandais	Irish, Irish Gaelic, Irish , Irish	アイルランド語
Islando	Islando		Islande, République d’Islande	Iceland, Republic of Iceland	アイスランド
Israel	Israelo		Israël	Israel, State of Israel	イスラエル
Italia	Italio		Italie	Italy, Italian Republic	イタリア
Italiana	itala	lingua Italica	italien	Italian, Italian	イタリア語
Ivora Rivo	Ebur-Bordo		Côte d'Ivoire, République de la Côte d'Ivoire	Ivory Coast, Cote d'Ivoire, Republic of Cote d'Ivoire	コートジボワール
ivoro	eburo	ebur	ivoire	ivory	象牙質, 象牙
jaguaro	jaguaro		jaguar	jaguar	ジャガー
Jakarta	Ĝakarto		Jakarta, Djakarta	Jakarta, Djakarta, DKI Jakarta	ジャカルタ
Jamaika	Jamajko		Jamaïque	Jamaica	ジャマイカ
januaro	januaro, Januaro	Ianuarius, iānuārius, Januarius	janvier	January	一月, 睦月, 1月
Japonia	Japanio		Japon, Empire du Soleil-Levant	Japan, State of Japan	日本, 日本国
Japoniana	japana		japonais	Japanese, Japanese, Nihongo	日本語
jemelo	ĝemelo		jumeau	twin	双生児
jenjivo	gingivo		gencive	gingiva, gums, gum	歯茎
Jersey	Jersey		Bailliage de Jersey	Jersey, Bailiwick of Jersey	ジャージー島
jileto			gilet	waistcoat, vest	チョッキ, ベスト
jineto			genetta	genet	
jorno	tagnokto	dies, lux	jour, journée	day	日
jovdio	ĵaŭdo	dies Iovis, dies Jovis	jeudi	Thursday	木曜日
joyoza aniversario	feliĉan naskiĝtagon	felicem natalem, fortuna dies natalis, felix dies natalis, felix sit dies natalis	bon anniversaire, joyeux anniversaire, bonne fête	happy birthday	お誕生日おめでとうございます, 誕生日おめでとう
julio	julio, Julio	iūlius, Julius	juillet	July	七月, 文月, 7月
junio	junio, Junio	Iunius, iūnius, Junius	juin	June	六月, 水無月, 6月
Jupitero	Jupitero		Jupiter	Jupiter	木星
jupo	jupo		jupe	skirt	スカート
jurnalo	gazeto, ĵurnalo		journal	newspaper, gazette	新聞
juvelo	juvelo		joyau, gemme, pierre précieuse, pierre	gem, gemstone	宝石
Kabo Verda	Kabo-Verdo		Cap-Vert	Cape Verde, Republic of Cape Verde	カーボベルデ
kafeerio	kafejo		café, caoua, cafétaria, cafétéria, cafét', caféteria, cafetaria	coffee-shop, café, coffee shop, tea shop, coffee house, caff, cafeteria, cafe	カフェ, コーヒー店, コーヒーハウス, 喫茶店
kafeino	kafeino		caféine, théine	caffeine	カフェイン
kafeo	kafo	coffeum	café, caoua, caouah, cavoua	coffee	珈琲, コーヒー
Kaiman-Insuli	Kajmaninsuloj		Îles Caïmanes, îles Caïmans, îles Caïman, îles Caïmanes, iles Caïmans, iles Caïman, iles Caïmanes	Cayman Islands	ケイマン諸島
kakao			cacao	cocoa	
kakofonia	kakofonia		cacophonique	cacophonous	
kalcio	kalcio	calcium	calcium	calcium	カルシウム
kaldiero	bolegilo		chaudière	boiler	ボイラー
kalidoskopo		calidoscopium	kaléidoscope	kaleidoscope	万華鏡
kalifornio	kaliforniumo	californium	californium	californium	カリホルニウム
kalio	kalio	kalium	potassium	potassium	カリウム
kaloro	varmeco		chaleur, chaud	warmth, heath, hot	
kalzeto			chaussette	sock	靴下
kambio	ŝanĝmono	mutatio, permutatio	monnaie	change	お釣り, つり銭, 小銭
Kambodja	Kamboĝo		Cambodge	Cambodia, Kingdom of Cambodia	カンボジア
kamelo	kamelo	camelus	chameau	camel	駱駝
kameno	fajrejo	camīnus, focus	cheminée, âtre, foyer	fireplace	暖炉
kamero	fotilo, fotografilo, fotoaparato		appareil photographique, appareil photo	camera	カメラ
Kamerun	Kamerunio, Kameruno		Cameroun	Cameroon, Republic of Cameroon	カメルーン
kamforiero	kamforarbo		camphrier, arbre à camphre	camphor laurel, camphorwood, camphor tree	クスノキ
kamiono		autocinetum onerarium	camion	truck, lorry	camion, トラック
kanabo	kanabo		chanvre, cannabis	hemp	麻
kanguruo	kanguruo	halmaturus	kangourou	kangaroo, macropod	カンガルー
kanibaleso	kanibalismo		cannibalisme	cannibalism	カニバリズム
kanibalo			cannibale	cannibal	
kanoo	kanuo, kanoto		canoé, canoë, canot	canoe	カヌー
kansono	kanto	carmen	chanson	song	歌, 歌曲
kantar	kanti	canere, cantare	chanter	sing	歌う
kapo		caput	tête	head	頭
kapreolo	kapreolo		chevreuil	Roe Deer, roe, roe deer, European roe deer, western roe deer	ノロジカ
karasino			carissin	crucian carp	フナ, 鮒
karbo	karbono	carbonium	carbone	carbon	炭素
karbo dioxido	karbona dioksido		dioxyde de carbone, gaz carbonique	carbon dioxide, carbonic acid gas	二酸化炭素
kariatido			cariatide, cariatyde	caryatid	カリアティード
Karibeano	Kariba Maro	Mare Caribaeum	mer des Caraïbes, mer des Antilles	Caribbean Sea	カリブ海
karibuo	rangifero, boaco	tarandrus, tarandus, platyceros	renne, caribou	reindeer, caribou	トナカイ, 馴鹿
karnavalo	karnavalo		carnaval	carnival	謝肉祭
karno	viando	carō	viande	meat, flesh	肉
karotido			carotide, artère carotide	carotid, carotid artery	総頸動脈
karoto	karoto	carota, daucum	carotte	carotte, carrot, have a slash	ニンジン
karpentisto			menuisier	carpenter	大工
karpo	karpo	carpa	carpe, cyprinidé	carp	鯉, コイ
kasiso			cassis, groseille noire	blackcurrant	クロスグリ
kaso			caisse	cash desk, checkout, checkout counter, checkout desk, cashier's desk, till point	レジ, 勘定台
kastano	kaŝtanarbo, kaŝtanujo		châtaignier	chestnut, chestnut tree	クリ, クリノキ
kastelo	kastelo		château, château fort	castle	城
kastono				collet, bezel	
Katar	Kataro	Cataria, Quataria	Qatar, État du Qatar	Qatar, State of Qatar	カタール
katedro	predikejo		chaire	pulpit	講壇
Kategorio Commons			Catégorie de "Commons"	Commons category	
Kategorio de Commons			Catégorie de "Commons"	Commons category	
kateto	katido		chaton, minet, minou	kitten, kitty, kittie	子猫
Katmandu	Katmanduo		Katmandou	Kathmandu	カトマンズ
katyuno	katido		chaton, minet, minou	kitten, kitty, kittie	子猫
kaulo	brasiko		chou	cabbage	キャベツ
kauzo		causa	cause	cause	原因
kavajo			cavité	cavity	
kavalo	ĉevalo	equus	cheval	horse	馬
kavalokarno	ĉevalaĵo, ĉevalviando		viande de cheval, viande chevaline	horseflesh, horsemeat, horse meat	馬肉, ばにく
kaviaro			caviar	caviar	
kayako	kajako		kayak	kayak, kaiak, kiack, kyack, kyak	カヤック
kazeino	kazeino		caséine	casein	
kazo ke			au cas où	in case	
kelkafoye	kelkfoje, iafoje	aliquando, nonnunquam	parfois, quelquefois, des fois, de temps en temps, de temps à autre, occasionnellement	sometimes	時々
kemiala kompozito	kemia kombinaĵo		composé chimique, corps composé, composé	chemical compound, compound	化合物
Kenia	Kenjo		Kenya	Kenya, Republic of Kenya	ケニア
Khartoum	Ĥartumo		Khartoum	Khartoum	ハルツーム
kiasmo		chiasmus	chiasme	chiasmus	交錯配列法
kin	kvin	quīnque	cinq	five	五
kinadek	kvindek	quinquaginta	cinquante	fifty	五十
Kirgizistan	Kirgizistano		Kirghizistan, Kirghizstan, Kirghizie, République kirghize, République du Kirghizistan	Kyrgyzstan, Kyrgyz Republic	キルギス
Kiribati	Kiribato	Kiribati	Kiribati	Kiribati, Republic of Kiribati	キリバス
kirurgiisto	kirurgo	chīrurgus	chirurgien	surgeon	外科医
kirurgio	kirurgio		chirurgie	surgery	外科
kisto	kisto		kyste	cyst	嚢胞
klamar			crier	shout, scream, shout out, yell	叫ぶ
klaso			classe	class	クラス, 学級, 級
klavaro	klavaro		clavier, clavier d'ordinateur	keyboard, computer keyboard	キーボード
klepsidro		clepsydra	clepsydre	water clock, clepsydra	水時計
kleptomanio	kleptomanio		kleptomanie	kleptomania	窃盗症
kliento	kliento		client	customer, client, patron	顧客
klozar	fermi	claudo	fermer	close, shut	閉める
klozite			étroitement, de près	closely	
koalo	koalo		koala, koala cendré, paresseux australien	koala	袋熊, コアラ
kobalto	kobalto	cobaltum	cobalt	cobalt	コバルト
kokaino	kokaino		cocaïne	cocaine	コカイン
kokao			coca	coca	
koklusho	kokluŝo		coqueluche	whooping cough, chin cough, pertussis	百日咳
kokoso	kokoso; kokospalmo, kokosarbo		noix de coco; cocotier	kokosnoot, coconut; coconut palm, cocnut, coconut	ココナッツ
kolesterolo	kolesterolo		cholestérol, cholestérine	cholesterol	コレステロール
kolino	monteto	collis	colline	hill, loma, colina	丘, 丘陵
kolo	faŭko		goulot, goulot de bouteille, tête de bouteille	bottleneck, neck	瓶の首
kolombo	kolombo		colombe; colombe, pigeon	dove, pigeon; pigeon, dove	鳩
kolumbario			columbarium	columbarium	納骨堂
Kolumbia	Kolombio		Colombie	Colombia, Republic of Colombia	コロンビア
kolumo	kolumo	collum	col, encolure	collar	襟, カラー
komediisto	komikisto	poëta comicus	comédien, comique, humoriste	comic, comedian	コメディアン, お笑い芸人
komenco	eko		commencement, début	inception	
kometo	kometo	cometes, fax	Comète, comète, astre chevelu	comet, faxed star	彗星
komodo	komodo		commode	chest of drawers, dresser, bureau	化粧ダンス
Komori	Komoroj		Comores, Union des Comores	Comoros, Union of the Comoros	コモロ
komprar	aĉeti	emere	acheter	buy, purchase	買う
komputoro	komputilo		ordinateur	computer	コンピュータ, コンピューター
konfesiono	konfeso	confessio	confession	confession	懺悔, 告解
konfeto	konfetoj	frustula chartacea	confetti	confetti	紙吹雪
konfetti	konfetoj	frustula chartacea	confetti	confetti	紙吹雪
konfiskar	konfiski		confisquer, saisir	confiscate, impound, sequester, seize	没収
kono	konuso		cône	cone	円錐
konstitucaleso			constitutionnellement	constitutionally	
kontinento			continent	continent	大陸
kontoro	oficejo		bureau	office	事務所, オフィス, 執務室, 事務室
konvekto			convection, thermoconvection	convection	
koqueyo	kuirejo	coquina	cuisine	kitchen	台所
korbo	korbo		panier	basket, handbasket	かご
korbobalono	basketbalo, korbopilko		basket, basketball, basket-ball	basketball, basketball game	バスケットボール
kordagaro			cordage	cordage	
korko-querko	korkokverko		chêne-liège	Cork Oak, cork oak	
korkoquerko	korkokverko		chêne-liège	Cork Oak, cork oak	
Kornwal	Kornvalo	Cornubia	Cornouailles	Cornwall	コーンウォール
korseto	korseto		corset	corset	
korvo	korniko	corvus	corvidé, corneille	crow	カラス
kotono	kotono		cotonnier	cotton plant, cotton	綿, コットン
kovrilo	lankovrilo	lōdix	couvercle; couverture	lid; blanket	毛布
krabo			écrevisse, crabe	crab	カニ, 蟹
kravato	kravato		cravate	tie, necktie	ネクタイ
krayono	krajono	plumbum	crayon	pencil	鉛筆, えんぴつ
kredar	kredi	credere	croire	believe	信じる
kremo	kremo		crème	cream	クリーム
kriptono	kriptono	krypton	krypton	krypton	クリプトン
kristalo	kristalo		cristal	crystal	結晶
kristalografio			cristallographie	crystallography	結晶学
Kristo-nasko	Kristnasko		Noël	Christmas	クリスマス
Kroatia	Kroatio	Croatia	Croatie	Croatia, Republic of Croatia	クロアチア
kromio	kromo	chromium	chrome	chromium	クロム
kruda formulo	kemia formulo		formule chimique	chemical formula	化学式
