Ido	Esperanto	lingua Latina	français	English	日本語
kruro	femuro		cuisse	thigh	腿, 股, 太股
Kuba	Kubo		Cuba	Cuba, Republic of Cuba	キューバ
Kubano			Cubain	Cuban	
kudo	kubuto	ulna	coude	elbow	肘
kuko	kuko, torto	placenta	gateau, gâteau	cake	菓子な, ケーキ
kukombro	kukumo	cucumer	concombre	cucumber	きゅうり
kuliero	kulero	coclearium	cuiller, cuillère	spoon	スプーン, さじ
kultelo	tranĉilo	culter	couteau	knife	小刀, 包丁, ナイフ, 包丁
kun	kun		avec; avec	with; with, amongst, alongside	
kupro	kupro	cuprum	cuivre	copper	銅
kurar	kuri	currere	courir	run	走る
kurioza	scivola	curiosus, studiosus	curieux	curious, funny	好奇心, 知る
kuriumo	kuriumo	curium	curium	curium	キュリウム
labio-barbo	liphararo	mystax	moustache, bacchante, charmeuses	moustache, whisker	口ひげ, 口髭
labirinto			labyrinthe	labyrinth, maze	迷路
laco			lacet	lace	
Lagos	Lagoso		Lagos	Lagos	ラゴス
lakto	lakto	lac	lait	milk	乳, 牛乳
Lakto-voyo	Lakta Vojo, Lakta vojo		Voie lactée	Milky Way, Galaxy	銀河, 天の川, 銀河, 天の川
Laktovoyo	Lakta Vojo, Lakta vojo		Voie lactée	Milky Way, Galaxy	銀河, 天の川, 銀河, 天の川
lamao	lamo		lama	llama	ラマ属
lampo		Lampas, Lucerna	lampe, luminaire	lamp, light	ランプ, 明かり
lango	lango	lingua	langue	tongue	舌, べろ
lano	lano	lana	laine	wool	毛糸, ウール
lantano	lantano	lanthanum	lLanthane, lanthane	lanthanum	ランタン
larja	larĝa		large	wide	幅の広い
latrino	klozeto, tualeto, necesejo, latrino	latrina	salle de bain	bathroom, washroom, restroom, toilet, water closet, WC, lavatory, loo, bog, water closet, WC, can, john, lav	トイレ, トイレ, 便所, 化粧室, 手洗い, 厠, 憚り, べんじょ, かわや, けしょうしつ, てあらい, はばかり
latugo	laktuko	lactuca	salade, laitue	lettuce	レタス, 萵苣
Latvia	Latvio		Lettonie	Latvia, Republic of Latvia	ラトビア
laubo			pergola	pergalo	パーゴラ
lavar	lavi	lavare	laver	wash, clean up	洗う
leda	malbela	deformis, foedus, turpis	laid, moche	ugly	醜い, 見苦しい, 格好悪い
lektar	legi	legere	lire	read	読む
lenta	malrapida		lent, lente, lent	slow	遅い, ゆっくり
Leono	Leono	Leo	Lion	Leo	獅子座, しし座
leono	leono	leo	lion	lion	ライオン, 獅子
lepro	lepro	lepra	maladie de Hansen, lèpre	leprosy, HD, Hansen's disease	ハンセン病
lernar	lerni	discere	apprendre	learn, study, larn, acquire	習う, 学ぶ
Lesoto	Lesoto		Lesotho	Lesotho, Kingdom of Lesotho	レソト
letro	letero	epistula	lettre, missive	letter	手紙
levero			levier	lever	
lexikologio	leksikologio		lexicologie	lexicology	語彙論
li	ili		ils	they	
Libano	Libano	Libanus	Liban, République libanaise, pays du Cèdre, pays du cèdre	Lebanon, Lebanese Republic	レバノン
liber-kambio			libre échange	free trade	自由貿易
Liberia	Liberio		Liberia	Liberia, Republic of Liberia	リベリア
Libia	Libio		Libye, Jamahiriya arabe libyenne, Grande Jamahiriya arabe libyenne populaire socialiste	Libya, Great Socialist People's Libyan Arab Jamahiriya	リビア
libro	libro	liber	livre	book	本
Liechtenstein	Liĥtenŝtejno	Lichtenstenum	Liechtenstein, principauté de Liechtenstein	Liechtenstein, Principality of Liechtenstein	リヒテンシュタイン
ligna	ligna		en bois	wooden	
limonado			limonade	lemonade	レモネード
linguistiko	lingvoscienco, lingvistiko, lingviko	linguistica	linguistique	linguistics	言語学
linguo	lingvo	lingua	entité linguistique, langue	linguistic entity, language	言語
lino	ordinara lino, lino	linum	lin cultivé	flax, common flax, linseed	アマ
Lipari-insuli	Liparaj insuloj, Eolaj Insuloj		îles Éoliennes, îles Lipari	Aeolian Islands, Lipari Islands	エオリア諸島
liro	liro	lyra	lyre	lyre	ライアー
litio	litio	lithium	lithium	lithium	リチウム
lito	lito	lectus	lit	bed	ベッド, 布団
livar	foriri	exeo, abeo, abambulo, decedo, discedo, proficiscor, egredior, descisco	partir, mettre les voiles, se casser, se barrer, s'en aller	depart, exit, leave, quit, go away	出発, 去る
logiko	logiko		logique	logic	論理学
logikoze			logiquement	logically	
lokacanto			locataire	tenant	借地人, 小作人
lokacero			locataire	tenant	借地人, 小作人
lokaco			louage, location	rental, renting	
loko	loko	locus, positio, status	lieu, endroit	place, location, situation	場所, 位置
lombriko	lumbriko	lumbricus	lombric, ver de terre	earthworm	蚯蚓, ミミズ
London	Londono		Londres	London	ロンドン
Los Angeles	Los-Anĝeleso	Angelopolis	Los Angeles	Los Angeles, City of Angels	ロサンゼルス
lundio	lundo	dies Lunae	lundi	Monday	月曜日
luno	luno		lune, lune	moon, satelite, moon, satelite, natural satellite	月
lupo	lupeo, grandiga vitro		loupe	magnifying glass	虫眼鏡, 拡大鏡, ルーペ
lupulo	lupolo	lupus	houblon, houblon grimpant, couleuvrée septentrionale, bois du diable, vigne du Nord, salsepareille indigène	hops, common hop, hop	ホップ
lutecio	lutecio	lutetium	lutétium, lutécium	lutetium, cassiopeium	ルテチウム
Luxemburg	Luksemburgo	Luxemburgum	Luxembourg	Luxembourg	ルクセンブルク
luxo	lukso	luxus	luxe	luxury	贅沢
Madagaskar	Madagaskaro		Madagascar	Madagascar, Republic of Madagascar	マダガスカル
magazino			entrepôt	warehouse	倉庫
magnezio	magnezio		magnésium	magnesium	マグネシウム
magnezo	magnezio		magnésium	magnesium	マグネシウム
maifloro			muguet, muguet de mai	Lily of the Valley	スズラン
maizo	maizo		maïs		トウモロコシ
makarono			macaron	macaron	マカロン
Makau	Makao		Macao	Macao, Macau	マカオ
mala herbo			mauvaise herbe	weed	雑草
malad-eso	malsano	morbus	maladie	disease, illness, affliction, sickness, malady, ailment, disorder, affliction	病気, 疾患
malada	malsana	infirmus, aeger	malade	ill, sick	病気
Malawi	Malavio		Malawi	Malawi, Republic of Malaŵi	マラウイ
Maldivi	Maldivoj		Maldives, République des Maldives	Maldives, Republic of the Maldives	モルディブ
Malta	Malto		Malte	Malta, Republic of Malta	マルタ
mamiero	mamzono	strophium, cestus, fascia	soutien-gorge, brassière, soutif, soutien-doudounes, soutien-machins, soutien-nibards, sous-tif	bra, brassiere	ブラ, ブラジャー, 乳押さえ
mamifero	mamulo	mammiferus	mammifère	mammal, mammalian	哺乳類, 哺乳動物, 哺乳類
mamilo	mampinto	papilla, mamilla	mamelon, téton	nipple, papilla	乳首, 乳頭, ニップル
Man-Insulo	Manksinsulo, Man Uhartea	Monapia	île de Man, ile de Man	Isle of Man, Isle of Mann, Mann	マン島
mangano	mangano	manganum	manganèse	manganese	マンガン
manjar	manĝi	cenare, edere, comedere	manger, consommer, avaler, bouffer	eat, consume, swallow	食べる, 食う, 召し上がる, 頂く, 食事する
manuo	mano	manus	main	hand	手
mar-lutro	mar-lutro		loutre de mer	sea otter	
mardio	mardo		mardi	Tuesday	火曜日
margarino	margarino		margarine	margarine	マーガリン
mariajo	geedzeco	coniugium, nuptiae, conubium, matrimonium	mariage, épousailles	marriage, matrimony, wedlock	結婚
maristo	maristo, maristino	nauta	matelot, marin	sailor, seaman, mariner, seafarer	船員, 水夫, 船乗り, 水兵, セーラー
Maro di Marmara	Marmora Maro		mer de Marmara	Sea of Marmara, Sea of Marmora, Marmara Sea, Propontis	マルマラ海
marodero	retumilo, foliumilo, krozilo, TTT-legilo	navigatrum	navigateur, navigateur Web, navigateur Internet, butineur, brouteur, arpenteur, fouineur, fureteur, navigateur web	browser, web browser, Web browser, web-browser	ウェブブラウザ, インターネットブラウザ, WWWブラウザ, ブラウザ
Maroko	Maroko		Maroc	Morocco, Kingdom of Morocco	モロッコ
Marshall Insuli	Marŝalaj Insuloj	Insulae Marsalienses	Îles Marshall	Marshall Islands, Republic of the Marshall Islands	マーシャル諸島
marsho	marĉo	palus	marais, marécage	marsh, brook	湿地, 湿原
marsuino	foceno		marsouin, cochon de mer	porpoise	
martelo	martelo	malleus	marteau	hammer	金槌
Martinik	Martiniko	Martinica	Martinique	Martinique	マルティニーク
marto	marto, Marto	mārtius, Martius	mars	March	三月, 弥生, 3月
matematiko	matematiko	mathēmatica	mathématiques	mathematics	数学
matino	mateno	mane, matutina tempora, matutinum	matin, matinée	morning, morrow	午前
mato	tapiŝeto, mato		tapis, moquette	carpet	カーペット, 絨毯
matrala		maternus	maternel	maternal	母性, 母方の
Mauritania	Maŭritanio, Maŭritanujo	Mauretania	Mauritanie	Mauritania, Islamic Republic of Mauritania	モーリタニア
mayo	majo, Majo	maius, māius, Maius	mai	May	五月, 皐月, 5月
Mayotte	Majoto	Maiotta	Mayotte	Mayotte	マヨット
mecho	meĉo	fīlum, mergulus	mèche	candlewick, candle wick, wick	ろうそくの芯
meduzo	meduzo	pulmo, halipleumon	méduse	jellyfish	海月, 水母, クラゲ, すいぼ
mekanismo	meĥanismo, mekanismo	māchina	mécanique, mécanisme	mechanism	機構
melodio	melodio, ario	melodia	mélodie, air, ligne mélodique, phrase mélodique	melody, tune, air, line, strain, melodic line, melodic phrase	メロディ, メロディー, 旋律
melolonto			hanneton	cockchafer, may bug, billy witch	
melono	melono		melon	melon	メロン
mem			encore, même	yet, even	
memorar	memori		mémoriser	memorize	
menopauzo	menopaŭzo		ménopause	menopause, climacteric	
mentiar	mensogi	mentiri	mentir, faire accroire	lie, liegen, prevaricate	嘘をつく
mentono	mentono	mentum	menton	chin, mentum	顎
merkato	merkato	mercatus	marché	market, marketplace	市場
merkurio	hidrargo	hydrargyrus	mercure	mercury	水銀
merlano	merlango		merlan	whiting	
metafiziko	metafiziko		métaphysique	metaphysics	形而上学
metaforo			métaphore	metaphor	比喩
metatarso			métatarse, avant-pied	metatarsus, metatarsal bones	
Mexikia	Meksiko	Mexicum	Mexique	Mexico, United Mexican States	メキシコ
mezepoka	mezepoka	mediaevalis	médiéval, moyenâgeux	medieval, mediæval	
mezuro di fluo			mesure du courant (dans un cours d'eau)	stream measurement	
miel-biro			hydromel	mead	
mikro-ondi			onde à hyperfréquences, micro-onde	microwave	マイクロ波
Mikronezia	Mikronezio, Federacio de Mikronezio	Foederatae Micronesiae Civitates	Micronésie, États Fédérés de Micronésie, États fédérés de Micronésie	Micronesia, Federated States of Micronesia	ミクロネシア
mil	mil	mīlle, mīlia	mille	thousand	千
Milano	Milano		Milan	Milan	ミラノ
miliardo	miliardo		milliard	milliard, a thousand million	十億
milio	mejlo		mille	mile	マイル
min			moins	less	
minac-anta	tuja	propinquus	imminent, prochain	imminent, impending, forthcoming	
minacanta			menaçant	threatening, menacing	
minacoza			menaçant	threatening, menacing	
mofeto	mefito		mouffette, moufette, mofette, sconse, bête puante	skunk	スカンク
molar			molaire	molar	臼歯, きゅうし
molibdeno	molibdeno		molybdène	molybdenum	モリブデン
Monako	Monako		Monaco, Principauté de Monaco	Monaco	モナコ
monato	monato	mensis	mois	month	月
mondo	mondo	mundus	monde	world	世界, 世
mondo-milito	mondmilito		guerre mondiale	world war	
Mongolia	Mongolio	Mogolia	Mongolie	Mongolia	モンゴル
Montenegro	Montenegro		Monténégro	Montenegro	モンテネグロ
monto	monto	mons, mōns	montagne, mont	mountain	山, 山岳
Montserrat	Moncerato	Montserrat	Montserrat	Montserrat	モントセラト
mortar	morti		mourir, décéder, crever, clamser, s'éteindre, trépasser, avaler son extrait de naissance, fermer les yeux, manger les pissenlits par la racine, passer l’arme à gauche, payer sa dette à la nature, expirer, succomber, calancher, claboter, claquer, casser sa pipe, dévisser son billard, casser sa queue de billard, passer de vie à trépas	die, expire, pass away, kick the bucket, decease, demise, pass on, cease to be, go to meet ones maker, ring down the curtain, join the choir invisible, perish, go, exit, pass, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it	死ぬ, 亡くなる
morto	morto; morto	mors, exitium, quietus; mors, exitium, quietus, letum, finis	décès, mort; mort	case of death, event of death, death, fatality; death, dead	死; 死, 死亡
moruo	moruo		morue, cabillaud	cod	鱈, たら
moruso	rubusbero		ronce	blackberry, bramble	
moskeo	moskeo	meschita	mosquée	mosque	モスク
Moskva	Moskvo	Muscovia, Moscua	Moscou	Moscow	モスクワ
motivizo			motivation	motivation	動機づけ
motoro	motoro		moteur	engine	モーター, エンジン
movar	moviĝi	moveo	se mouvoir, se déplacer, bouger	move	動く
muflo	duonganto		moufle, mitaine	mitten	グリップ
muliero	Virino	mulier, femina	femme, meuf, gonzesse, nana, bonne femme	woman, female	女, 女
muskado	muskato		noix de muscade, noix muscade	nutmeg	ナツメグ
muso	muso	mūs	souris	mouse	鼠
mustardo	mustardo		moutarde	mustard	マスタード
mutono	ŝafo	ovis	mouton	sheep	羊, ひつじ
mutonulo			bouc, bélier	ram	
mutonyuno	ŝafido	agnus, agnellus	agneau	lamb, lambkin	子羊, 小羊, ラム
mutonyunokarno	ŝafidaĵo		agneau	Lammfleisch, lamb	ラム, 羊肉
muzeo	muzeo		musée	museum	博物館
muziko	muziko	musica	musique	music	音楽
Myanmar	Mjanmao		Myanmar, Birmanie, Union du Myanmar, Union de Birmanie	Myanmar, Union of Myanmar	ミャンマー
Nairobi	Najrobo		Nairobi	Nairobi	ナイロビ
Namibia	Namibio		Namibie, République de Namibie	Namibia	ナミビア
napo	napo	nāpus	navet	turnip, white turnip	カブ, 蕪, かぶ
naskodio	naskiĝtago, naskotago		anniversaire	birthday	誕生日
natar	naĝi	natare, nare	nager	swim	泳ぐ
Nauru	Nauro		Nauru	Nauru, Republic of Nauru	ナウル
nazo	nazo	nasus	nez, pif	nose	鼻, はな
ne dankinde	ne dankinde	nihil est, libenter, precare, precamini	de rien, il n'y a pas de quoi, je vous en prie, pas de quoi, bienvenue, je t’en prie, ça me fait plaisir, service, je t'en prie, avec plaisir	you're welcome, no problem, it was nothing, don't worry about it, my pleasure	どういたしまして, いいえ
nebulo	nebulo	nebula	brouillard	fog	霧
nebulozo	nebulozo	nebula	nébuleuse	nebula	星雲
Nederlandana Antili	Nederlandaj Antiloj	Antillae Nederlandiae	Antilles néerlandaises	Netherlands Antilles, Dutch Antilles	オランダ領アンティル諸島
Nederlando	Nederlando		Pays-Bas, Royaume des Pays-Bas, Hollande, Hollande	Holland, The Netherlands, Kingdom of the Netherlands, the Netherlands, Netherlands, Holland	オランダ
nekapabla			incapable	unable	
nekroso			nécrose	necrosis	壊死
nekustumata	nekomuna		rare, inhabituel, peu ordinaire, insolite	uncommon, rare, unusual, exceptional	
nenobelo			roturier	commoner	
neodimio	neodimo	neodymium	néodyme	neodymium	ネオジム
neologismo	neologismo		néologisme	neologism	新語
neono	neono		néon	neon	ネオン
Nepal	Nepalo		Népal	Nepal	ネパール
neperturbebla			imperturbable, inébranlable	imperturbable, unshakable	
Neptuno	Neptuno	Neptunus	Neptune	Neptune	海王星
neutrono	neŭtrono	neutron	neutron	neutron	中性子
nigra	nigra	niger, ater	noir	black	黒い
Nigra Maro	Nigra Maro	Pontus Euxinus, Pontus	Mer noire	Black Sea	黒海
Nikaragua	Nikaragvo		Nicaragua	Nicaragua	ニカラグア
nikelo	nikelo	niccolum	nickel	nickel	ニッケル, 白銅
niobio	niobio	niobium	niobium	niobium	ニオブ
nitro	azoto, nitrogeno	nitrogenium	azote	nitrogen, azote	窒素
Niue	Niuo		Nioué	Niue	ニウエ
nivo	neĝo	nix	neige	snow	雪, ゆき
Nobel-premio	Nobel-Premio, Premio de Nobel		prix Nobel, Nobel	Nobel Prize	ノーベル賞
nodo			nœud, nœud, nœud	knot	結び目
nokto	nokto	nox	nuit	night, nighttime, night-time	夜
nomenklatura			nomenklatura	nomenklatura	共産貴族
non	naŭ	novem	neuf	9, nine	九
nonadek	naŭdek	nonaginta	quatre-vingt-dix, 90, nonante	ninety	九十
nonesma	naŭa	nonus	neuvième, 9ème	ninth, 9th	九番目
nonimo	naŭono	nonum	neuvième	ninth, 9th	
nord-Afrikana			nord-africain	North African	
nord-Afrikano			Nord-Africain	North African	
Nord-Korea	Nord-Koreujo	Respublica Populi Democratica Coreae	Corée du Nord, République populaire démocratique de Corée	North Korea, Democratic People's Republic of Korea	北朝鮮, 朝鮮民主主義人民共和国
nordo	nordo	borealis, septentrio	nord	north	北
Norvegia	Norvegio		Norvège, Royaume de Norvège	Norway, Kingdom of Norway	ノルウェー
Nov-yaro	novjaro, Jarŝanĝo, Nova jaro		nouvel an, jour de l'an, jour du nouvel an	New Year, New Year's Day	新年
Nova-Kaledonia	Nov-Kaledonio	Nova Caledonia	Nouvelle-Calédonie, Kaledonia Berria	New Caledonia	ニューカレドニア
Nova-York	Novjorko	Novum Eboracum	New York	New York City, New York, The City of New York	ニューヨーク
Nova-Zelando	Nov-Zelando		Nouvelle-Zélande	New Zealand	ニュージーランド
novembro	novembro, Novembro	november, November	novembre	November	十一月, 霜月, 11月
Novial	Novialo		novial	Novial	ノヴィアル
nubo	nubo	nubes	nuage	cloud	雲
nudelo	nudelo		nouille	noodle, fettuccine	ヌードル, 麺類
nudeso	nudeco		nudité	nudity, nakedness	
nukleo	nukleono		nucléon	nucleon	核子
nulatempe	neniam	numquam	jamais	never	
nulo	nenio		ne rien, rien, des clopes	nothing	無
nultempe	neniam	numquam	jamais	never	
objecionar			objecter	object	
obliviar	forgesi	oblīvīscor, amitto memoriam	oublier	forget	忘失, 忘れる
Oceano Pacifiko	Pacifika Oceano	Oceanus Pacificus	Océan Pacifique	Pacific Ocean, Pacific	太平洋
ocidento	okcidento	occidens	ouest	west	西
ocilo			oscillation	oscillation, oscillation, oscillation	
Ocitaniana			occitan, langue d’oc	Occitan	オック語
od	aŭ		ou	or	か
odio			fougue	animosity	
ok	ok	octo	huit	eight	八
okadek	okdek	octōgintā	quatre-vingt, quatre-vingts, huitante, octante	eighty	八十
oktobro	oktobro, Oktobro	october, October	octobre	October	十月, 神無月, 10月
okulo	okulo	oculus	œil, yeux	eye	目
olivo	olivo		olive	olive	オリーブ
ombro	ombro	umbra	ombre	shade, shadow	影, 陰影, 日陰
omnibuso	buso, aŭtobuso	laophŏrum, autocinetum laophoricum	autobus, bus, car	bus, coach, coach	バス
ondo	ondo	unda	vague	wave	波, 周波
onklino	onklino	amita, mātertera	tante, tatie	aunt, aunty, auntie	おば, 叔母, 伯母
onklulo	onklo	thius	oncle, tonton	uncle	
ontologio	ontologio		ontologie	ontology	存在論
operacanto			opérateur	operator	操作者, オペレーター
operaco			opération, fonctionnement	functioning, operation	作業, 操作
optiko	optiko		optique	optics	光学
orangutano	orangutango		orang-outan	orangutan	オランウータン
oranjea	oranĝokolora	arantius	orange	orange	オレンジ色の, 橙色の
oratorio		oratoria		oratory	
ordinatro	komputilo		ordinateur	computer	コンピュータ, コンピューター
oreliono	mumpso	parotis	oreillon, oreillons, parotidite virale, parotidite ourlienne	mumps, epidemic parotitis	流行性耳下腺炎, おたふく風邪
orelo	orelo	auris, auricilla, auricula	oreille	ear	耳
oreloringo	orelpendaĵo		boucle d'oreille	earring	イヤリング
orgeno	orgeno		orgue	organ	
ornitorinko	ornitorinko	ornithorhynchus	ornithorynque	platypus, duck-billed platypus, duckbill, duckmole, watermole, duckbilled platypus	カモノハシ
oro	oro	aurum	or	gold	金
ortopedisto			orthopédiste	orthopedist	
osmio	osmio	osmium	osmium	osmium	オスミウム
ostro	ostro	ostrea	huître, huitre	oyster	カキ
otalgio	oreldoloro, otalgio		mal à l'oreille, otalgie	earache, otalgia	耳痛
ovo mixita			oeuf brouillé, œuf brouillé, œufs brouillés	scrambled eggs, scrambled egg	スクランブルエッグ, スクランブルドエッグ
oxo	oksigeno	oxygenium	oxygène	oxygen	酸素
pagino	paĝo	pagina	page	page	面, ページ, 項
Pakistan	Pakistano		Pakistan, République islamique du Pakistan	Pakistan, Islamic Republic of Pakistan	パキスタン
paladio	paladio	palladium	palladium	palladium	パラジウム
paleontologio	paleontologio		paléontologie	palaeontology	古生物学
palpebr-ag-anta	direktindikilo		clignotant, feu clignotant, feu de direction, clignoteur, signofile, signofil	turn signal, directional indicator, directional signal, directional, blinker, indicator, flasher, direction indicator, flashing indicator, indicator light, turn indicator, turn light, turn signal flasher, trafficator	方向指示器
Panama	Panamo		Panama, Panamá	Panama	パナマ, Panama
pangolino	maniso		pangolin, manidé, fourmilier écailleux	pangolin, scaly anteater	センザンコウ
pano	pano	panis	pain	bread	パン
papa	paĉjo		papa	dad, daddy	お父さん, パパ
papagayo	papago		perroquet	parrot	オウム
papero	papero	charta	papier	paper	紙
papiliono	papilio	pāpiliō	papillon diurne, papillon de jour, rhopalocère	butterfly	蝶々, 蝶, 蝴蝶, チョウ
Papua Nov-Guinea	Papuo-Nov-Gvineo	Papua Nova Guinea	Papouasie-Nouvelle-Guinée	Papua New Guinea	パプアニューギニア
Paraguay	Paragvajo	Paraguaia	Paraguay	Paraguay	パラグアイ
parko	parko		parc, jardin public	park	公園
parlamento	deputitejo, parlamento		parlement	parliament	
parqueto	pargeto		parquet	wood flooring, parquet	
partenogenezo	partenogenezo		parthénogenèse, parthénogénèse	parthenogenesis	単為生殖
partikulara	speciala		spécial	special	
partikulo			particule.	particle, speck	粒子
parto	parto		partie	part	部分
parturo	naskiĝo	nascentia, nativitas	accouchement, naissance, parturition, naissance, mise-bas, naissance, mise-bas	childbirth, birth, parturition, childbirth, birth, childbirth, birth	出産
parvenuo			nouveau riche, parvenu	nouveau riche, new money, parvenu, upstart	成り金, 成り上がり者, 出来星
paskala ovo	paska ovo	ovum paschale	œuf de Pâques	Easter egg	イースター・エッグ
Pasko-Insulo	Paskinsulo	insula Paschae	Île de Pâques, île de Pâques, Ile de Pâques, ile de Pâques	Isla de Pascua, Easter Island	イースター島
pasto			pâte	paste	
patro	patro; generinto	pater	père; parent	father; parent	父, お父さん, 父親, 父上, 親父; 親
patrulo	patro	pater	père	father	父, お父さん, 父親, 父上, 親父
pavonino	pavino	pāva	paonne	peahen	
pavono	pavo		paon	peacock, peafowl	孔雀, ピーコック
pavonulo	virpavo, paviĉo		paon	peacock	
pavonyuno	pavido		paonneau	peachick	
pedo	piedo	pes, pēs	pied	foot	足, 足, 足
pedofilio	pedofilio		pédophilie	pedophilia, paedophilia, pædophilia	ペドフィリア
pedunklo	pedunklo		pédoncule	peduncle	
pelo	haŭto	cutis	peau	skin	皮膚, 肌
pendar	pendumi		pendre	hang, string up	
peninsulo	duoninsulo	paeninsula	péninsule	peninsula	半島
Pentekosto	pentekosto	Pentecostes	Pentecôte	Pentecost, Whitsum, Whitsun, Whitsunday	ペンテコステ
perdar		amittere	perdre	lose	負ける
periodala tabelo dil elementaro	perioda tabelo		tableau périodique, tableau périodique des éléments	periodic table	周期表
peritoneo	peritoneo		péritoine	peritoneum	
perturbo			perturbation	disturbance	
Peru	Peruo		Pérou	Peru, Republic of Peru	ペルー
pesimista	pesimisto		pessimiste	pessimist, worrywart, alarmist, worrywart, alarmist, naysayer	
petroselo	petroselo	petroselinum, petroselinon	persil, persil cultivé, persil odorant, persin	parsley, garden parsley	パセリ
phishing	ŝteltruko		phishing, hameçonnage, filoutage	phishing	
pikturo	pentraĵo	pictura	peinture	painting	絵
piramido	piramido		pyramide	pyramid	ピラミッド
piro	piro		poire	pear	梨
pistuyo			mortier	mortar	モルタル
plado	telero	catillus	assiette	plate	皿
plajo			côte, rivage, rive	shore	
planko-sulo	planko	solum	sol, plancher	floor	床
plano	ebeno		plan	plane	平面
plantacar	planti	serō, cōnserō	planter	plant	植える
platino	plateno	platinum	platine	platinum	プラチナ, 白金
plendar			se plaindre	complain, kick, plain, sound off, quetch	
plorar	plori	flere, lacrimare	pleurer, chialer	cry, weep	泣く
plu bona			meilleur, mieux	better	
plubeligo	beligo		embellissement	beautification, embellishment	
plugilo	plugilo	aratrum	charrue	plough	鋤, 鍬
plumiero	pruno	prūnum	prune	plum	セイヨウスモモ, プラム
plumo	plumo; plumo; pruno	plūma; prūnum	plume, stylo, stylo à encre, stylographe; plume; prune	pen; feather, plumage, plume; plum	ペン, ボールペン; 羽根; セイヨウスモモ, プラム
plutonio	plutonio; plutonio; plutonio	plutonium; plutonium; plutonium	plutonium, plutonium, plutonium; plutonium, plutonium, plutonium; plutonium, plutonium, plutonium	plutonium, plutonium, plutonium; plutonium, plutonium, plutonium; plutonium, plutonium, plutonium	プルトニウム; プルトニウム; プルトニウム
polemikar			polémiser, polémiquer, polémiciser	polemize, polemise	
polexo	polekso	pollex	pouce	thumb	親指
policeyo	policejo		commissariat de police, commissariat	Expression:police station, police station, station house	警察署
poliedro	pluredro		polyèdre	polyhedron	多面体
poliglota	plurlingva		polyglotte, multilingue, plurilingue	polyglot, multilingual	
polimero	polimero		polymère	polymer	ポリマー, 重合体
Polonia	Pollando, Polio		Pologne	Poland	ポーランド
polonio	polonio	polonium	polonium	polonium	ポロニウム
polpo	polpo		poulpe, pieuvre	octopus	タコ
polvosugilo	polvosuĉilo	polverem ablator	aspirateur, balayeuse, aspirateur électrique, aspi	vacuum cleaner, hoover, vacuum	掃除機
pomo	pomo	malum	pomme	apple	林檎, リンゴ
pompelmuso	grapfrukto		pamplemousse, pomélo	grapefruit	グレープフルーツ
poneo	poneo		poney	pony	ポニー
ponto	ponto	pons	pont	bridge	橋, はし
pordo	pordo	ostium, ianua	porte, huis	gate, door	門, 戸, 扉, ドア
pordo-fenestro			porte-fenêtre	French window, French door, french window	
porelo			poireau, porreau, poirée, poirette, asperge du pauvre, poireau cultivé, poireau commun	leek	葱
porko	porko	sus, porcus	cochon, porc	pig, hog	豚
portar	alkonduki		apporter, amener	bring, get, convey, fetch, take	もっていく, もってくる
Porto-Riko	Portoriko		Porto Rico	Puerto Rico	プエルトリコ
