Ido	Esperanto	lingua Latina	français	English	日本語
Portugal	Portugalio		Portugal, République portugaise	Portugal	ポルトガル
Portugalana	portugala	lingua Lusitana	portugais	Portuguese, Portuguese	ポルトガル語
pose	poste		par la suite, après	afterwards, afterward	その後, それから, 後で
posto-kontoro	poŝtejo, poŝtoficejo		poste, bureau de poste	post office	郵便局
povra		pauper	pauvre	poor	貧しい, 貧乏な
povreso-limito				poverty line	貧困線
prazeodimio	prazeodimo	praseodymium	praséodyme	praseodymium	プラセオジム
prebendo			prébende	prebend	
prepoziciono			préposition	preposition	前置詞
pri	pri		à propos de, au sujet de	about	
printempo	printempo	vēr	printemps	spring	春
projektajo			projectile	projectile	
prometio	prometio	prometium	prométhium, prométhéum	promethium	プロメチウム
prostato	prostato	prostata	prostate	prostate	前立腺
prostituco		meretrix	prostitué, putain, pute, prostituée, fille de joie, fille publique, péripatéticienne, catin, grue	prostitute, whore, harlot, strumpet, hooker, trollop, hussy	売春婦
protaktinio	protaktinio	protactinium	protactinium	protactinium	プロトアクチニウム
protono	protono	proton	proton	proton	陽子
proxim	proksima		proche, près	close	近い
prurito	juko, jukado	pruritus	démangeaison	itch	かゆみ
Prusia	Prusio	Prussia, Prutenia	Prusse	Prussia	プロイセン
psikalasomata			psychosomatique	psychosomatic	
puerulo	knabo	puer, adulescens, catulaster	garçon	boy	男の子
pulio	rulpulio, rulbloko, takelo, pulio	trochlea	poulie	pulley, block, pulley-block	滑車
puso	puso	pus	pus	pus	膿
putoro			putois, putois d'Europe	European polecat, fitch, foumart, foulmart	
quadripedo	kvarpiedulo		quadrupède	quadruped	四足獣
quar	kvar	quattuor	quatre	four	四, 四つ, ４
quaradek	kvardek	quadraginta	quarante	forty	四十
quaranteno	kvaranteno	quarantanna	quarantaine	quarantine	検疫
quik	tuj	iugiter, iloco	immédiatement, tout de suite, sur-le-champ, illico, de suite, dare-dare, astheure, à c't'heure	immediately, instandly, at once, instantly, straightaway, straight off, directly, now, right away, forthwith, like a shot, right now	すぐに
radioaktiva	radioaktiva		radioactif	radioactive	放射性
radiumo	radiumo	radium	radium	radium	ラジウム
radono	radono	radon	radon	radon	ラドン, レイドン
rapidigar	rapidigi, akceli		accélérer	accelerate, speed up, speed	加速
rasismo	rasismo		racisme	racism	人種差別
ratono	lav-urso		raton laveur, raton laveur commun	raccoon, common raccoon, North American raccoon, northern raccoon, coon	アライグマ, 洗熊
ratonyuno	lav-urso		raton laveur, raton laveur commun	raccoon, common raccoon, North American raccoon, northern raccoon, coon	アライグマ, 洗熊
raupo	raŭpo	eruca	chenille	caterpillar	毛虫, 芋虫
reaktivo			réactif	reagent	試薬
reda	ruĝo; ruĝa	ruber; rubeus, rufus, ruber, rubidus, russeus, vermiculus, rubicundus	rouge; rouge	red; red	赤; 赤い
redaktar			éditer, modifier	edit	編集する
regretinde	bedaŭrinde, malfeliĉe; bedaŭrinde, malfeliĉe	infeliciter	malheureusement, malencontreusement, hélas; malheureusement, hélas, à la male heure, malencontreusement	unfortunately, regrettably, unluckily, sadly, unhappily; unfortunately	生憎, 残念; 生憎, 残念
regulademo			homéostasie	homeostasis	恒常性
rejala	reĝeca		régalien	regalian	
rejulo	reĝo	rex	roi	king	国王, 国王
rekomendo			recommandation	recommendation	
rektangulo	ortangulo, rektangulo	rectangulum	rectangle	rectangle	長方形
religio	religio	religiō	religion	religion	宗教
renio	renio	rhenium	rhénium	rhenium	レニウム
rentiro	rangifero, boaco	tarandrus, tarandus, platyceros	renne, caribou	reindeer, caribou	トナカイ, 馴鹿
repozar	ripozi		se reposer	rest	休む
Republiko Kongo	Kongo Brazavila	Respublica Congensis	République du Congo, Congo-Brazzaville, Congo, Congo	Republic of the Congo, Congo-Brazzaville	コンゴ共和国
retino	retino	retina	rétine	retina	網膜
reumatologio			rhumatologie	rheumatology	
revoluciono	revolucio	revolutio	révolution	revolution	革命, 改革
reziduo	forĵetaĵo, rubo	quisquiliae, scrūta, purgamentum	déchet, ordure	rubbish, waste, trash, garbage, refuse, garbage, junk, trash	ゴミ, ごみ, 廃物
Rhenlando-Palatenio	Rejnlando-Palatinato		Rhénanie-Palatinat	Rhineland-Palatinate	ラインラント＝プファルツ州
richa	riĉa	dives	riche	rich, wealthy, well off	裕福, 豊か, 富有, 金持
ridetar	rideti	subridere	sourire	smile	微笑む
rinocero	rinocero	rhinoceros	rhinocéros	rhinoceros, rhino	犀 (さい、, サイ, 犀
rinovigebla fonto di energio			source d'énergie renouvelable	renewable energy source	再生可能なエネルギー源
rivero	rivero	flumen, fluvius	fleuve, rivière	river	川
rivo	bordo	ripa	berge; côte, rivage, rive	bank; shore	
robo	robo		robe	dress	ワンピース, ドレス, 服
rodio	rodio	rhodium	rhodium	rhodium	ロジウム
Romana	Romia		romain	Roman	
roto	rado	rota	roue	wheel	車輪, 輪
roza	rozokolora	roseus	rose	pink	ピンク, 桃色
rozario	rozario	rosarium	rosaire, chapelet	rosary	ロザリオ
rozea	rozokolora	roseus	rose	pink	ピンク, 桃色
Ruanda	Ruando	Ruanda	Ruanda	Rwanda, Rwandese Republic	ルワンダ
rubidio	rubidio	rubidium	rubidium	rubidium	ルビジウム
Rumania	Rumanio		Roumanie	Romania	ルーマニア
Rumaniana	rumana		roumain	Romanian, Romanaian	ルーマニア語
Rusia	Rusio		Russie, Fédération de Russie	Russia, Russian Federation	ロシア, ロシア連邦
Rusiana	rusa	Russica	russe	Russian, Russian	ロシア語, ロシヤ語, 露西亜語
rutenio	rutenio	ruthenium	ruthénium	ruthenium	ルウニウム
Réunion	Reunio	Reunio	Réunion	Réunion	レユニオン
safrano	safrano		safran	saffron	サフラン
Sahara	saharo, Saharo		sahara, Sahara, désert du Sahara	sahara, Sahara	サハラ砂漠, サハラ
sakrilejo	sakrilegio		sacrilège	sacrilege, desecration	
salivo		salīva	salive	spit, saliva	唾, つば
salmono			saumon	salmon	サーモン
salo	salo	sal	sel, sel de table, sel alimentaire, sel de cuisine	salt	塩, 食塩
Salomon Insuli	Salomonoj	Insulae Salomonicae	Îles Salomon, Salomon, îles Salomon, iles Salomon, Iles Salomon	Solomon Islands	ソロモン諸島
Salvadoria	Salvadoro		Salvador	El Salvador, Republic of El Salvador	エルサルバドル
salvio	salvio		sauge, sauge officinale, herbe sacrée, thé d'Europe	sage, garden sage, common sage, kitchen sage, ramona, true sage, culinary sage, dalmatian sage, broadleaf sage, meadow sage	セージ
samario	samario		samarium	samarium	サマリウム
sambuko	sambuko	sambucus	sureau	elderberry, elder	ニワトコ, 接骨木
sampanye	ĉampano		champagne	champagne	シャンパン
San Marino	San-Marino, San-Marino, San-Marino; San-Marino		Saint-Marin, Saint-Marin, Saint-Marin, République de Saint-Marin; Ville de Saint-Marin, Saint-Marin	San Marino, San Marino, San Marino, Republic of San Marino; San Marino	サン・マリノ, サン・マリノ, サン・マリノ
sango	sango	sanguis	sang	blood	血, 血液
sanguisugo	hirudo		sangsue	leech	
santaquuyo	sanktakvujo		bénitier	font	
Sao Tome e Principe	Sao-Tomeo kaj Principeo	Insulae Sancti Thomae et Principis	Sao Tomé-et-Principe	São Tomé and Príncipe	サントメプリンシペ
sardino	sardino		sardine	sardine	イワシ
saturdio	sabato	diēs Saturnī	samedi	Saturday	土曜日
sauco	saŭco	sucus	sauce	sauce	ソース
sekalo	sekalo	secale, secale cereale	seigle, grand blé, blé de la saint Jean	rye	ライムギ
sekretario	sekretario		secrétaire, secrétaire particulière	secretary, private secretary	秘書
selenio	seleno	seleni	sélénium	selenium	セレン
selizar			bâter, embâter, seller; seller	saddle; saddle	
selo	selo		bât, selle	packsaddle, saddle, bat	
semano	semajno	hebdomas, septimana	semaine	week	週間
semantiko	semantiko		sémantique	semantics	意味論
semino			semence; graine	seed; seed	種子, 種
semolo	semolino, semolo		semoule		
sempre	ĉiam		toujours; également	anytime; also	常に
Senegal	Senegalo, Senegalio		Sénégal	Senegal	セネガル
sep	sep	septem	sept	seven	七
sepadek	sepdek	septuaginta	soixante-dix, septante	seventy	七十
sepesma	sepa	septimus	septième, 7ème	seventh, 7th	７番目
septembro	septembro, Septembro	september, September	septembre	September	九月, 長月, 9月
Serbia	Serbio	Serbia	Serbie	Serbia	ブタペスト, セルビア
seria ocidanto	seria murdisto		tueur en série	serial killer	連続殺人
servalo	servalo		serval	serval	サーバル
server	servilo		serveur	server	サーバ
servero	servilo		serveur	server	サーバ
Seycheli	Sejŝeloj		Seychelles	Seychelles, Republic of Seychelles	セイシェル
shak-ludo	ŝako		échecs, jeu d'échec	chess	チェス
shakalo			chacal	jackal	ジャッカル
shamo			honte, disgrâce, déshonneur	shame, ignominy, disgrace	羞恥心
sharko	ŝarko	squalus	requin	shark	鮫
sharpo	skarpo, koltuko, kolskarpo		écharpe	scarf	マフラー, スカーフ, 襟巻き
shu-kordono			lacet	shoelace	
shu-laco			lacet	shoelace	
shu-metilo			chausse-pied	shoehorn, shoespoon	靴べら
Sierra Leone	Siera-Leono	Mons Leoninus	Sierra Leone, République de Sierra Leone	Sierra Leone	シエラレオネ
sifiliso	sifiliso		syphilis	syphilis	梅毒
sika	seka	siccus	sec, sèche	dry	乾いた, かわいた
sikeso			sécheresse, aridité, siccité	dryness, aridity, aridness	
silfo			sylphe, sylphide	sylph, sylphid	シルフ, シルフィード
siliko	silicio	silicium	silicium	silicon	珪素, シリコン
silogismo			syllogisme	syllogism	三段論法
simpla	simpla		simple	simple, uncomplicated	簡単な
Singapur	Singapuro	Singapura	Singapour	Singapore	シンガポール
sinkretismo	sinkretismo		syncrétisme	syncretism	
sinonimo	sinonimo		synonyme	synonym	同義語
sintaxo	sintakso; sintakso		syntaxe; syntaxe	syntax; syntax	構文, 構文論; 構文
Siria	Sirio		Syrie, République Arabe Syrienne, République arabe syrienne	Syria, Syrian Arab Republic	シリア
sis	ses	sex	six	six	六, 六つ, ６, シックス
sisadek	sesdek	sexaginta	soixante	sixty	六十
sivo	kribrilo		tamis	sieve	ふるい
skabelo			pouf, repose-pied, repose-pieds, appui-pied, appuie-pied	footrest, footstool, foot stool, foot rest	足載せ台, フットレスト
skalo	eskalo		échelle	ladder	梯子, はしご
skandio	skandio		scandium	scandium	スカンジウム
skapulo	skapolo		omoplate, scapula	shoulder blade, scapula, shoulder bone, shoulderblade	肩胛骨, 肩甲骨
skeleto	skeleto		squelette	skeleton, ottomy	骨格
skizofrenio	skizofrenio		schizophrénie	schizophrenia	
Slovakia	Slovakio		Slovaquie	Slovakia, Slovak Republic	スロヴァキア, スロバキア
Slovenia	Slovenio	Slovenia	Slovénie	Slovenia	スロベニア
sociala psikologio			psychosociologie	social psychology	
sociso		salsicia	saucisse	sausage	ソーセージ
soleo	soleo		sole commune, sole franche, langue de mer, semelle, sandale	common sole, Dove sole	
Somalia	Somalio	Somalia	Somalie	Somalia	ソマリア
somero	somero	aestas	été	summer	夏
somnambulo			somnambule	somnambulist, sleepwalker, nightwalker	
sonjar	sonĝi	somniare	rêver	dream	夢
sonjo	sonĝo	somnium	rêve, songe	dream	夢
sparviero	akcipitro		faucon	hawk	
spegulo	spegulo	speculum	miroir, glace	glass, mirror, panel	鏡
spico	spico		épice	spice	香辛料
spolianto	retumilo, foliumilo, krozilo, TTT-legilo	navigatrum	navigateur, navigateur Web, navigateur Internet, butineur, brouteur, arpenteur, fouineur, fureteur, navigateur web	browser, web browser, Web browser, web-browser	ウェブブラウザ, インターネットブラウザ, WWWブラウザ, ブラウザ
spozala	geedziĝa, edzeca	iugalis	conjugal, marital, matrimonial	conjugal, connubial, spousal, marital, matrimonial	
spozo	geedzo, spozo		mari ou femme, conjoint	spouse	
spozulo	edzo	maritus	mari, époux	husband, spouse	夫
Sri Lanka	Lanko, Sri-Lanko		Sri Lanka	Sri Lanka	スリランカ
St Lucia	Sent-Lucio	Sancta Lucia	Sainte-Lucie	Saint Lucia	セントルシア
St Pierre e Mikelon	Sankta-Piero kaj Mikelono		Saint-Pierre-et-Miquelon, San Pedro e Miguelón	Saint-Pierre and Miquelon	サンピエール島・ミクロン島
stano	stano	stannum	étain	tin	錫, スズ
stelo	stelo	stella	étoile	star	星, 恒星, 星
stifto	maleolo	talus	cheville	ankle, talocrural joint	足首
stomako		stomachus	estomac	stomach	胃
striko	striko	operistitium	grève	strike	ストライキ
stroncio	stroncio	strontium	strontium	strontium	ストロンチウム
stroopwafel	siropvaflo		stroopwafel	stroopwafel, stroopwaffel, syrup waffle	ストロープワッフル
strucho	struto	struthiocamelus, struthio	autruche	ostrich	ダチョウ, 駝鳥, オーストリッチ
strumo			goitre	goiter, bronchocele, struma	甲状腺腫
stulo	seĝo	sella, cathedra, solium	chaise	chair	椅子, 椅子
su-ocido	sinmortigo	suicidium	suicide, suicide	suicide, suicide, self-destruction, self-killing, self-murder	自殺
subisar	suferi		supporter, tolérer	bear, digest, endure, stick out, stomach, standtolerate, support, brook, abide, suffer, stand, tolerate, support, brook, abide, suffer, bear with, take	
substantivo	substantivo	nomen substantivum	substantif, nom, substantiivi	noun, substantive	名詞
sucino	sukceno		ambre, ambre jaune	amber	コハク, 琥珀
Sud-Korea	Sud-Koreio	Respublica Coreae	Corée du Sud, République de Corée	South Korea, Republic of Korea	韓国
Sudan	Sudano		Sudan, Soudan	Sudan	スーダン
Suisia	Svislando		Suisse	Switzerland	スイス
sukro	sukero	saccharum	sucre	sugar	砂糖
sulfo	sulfuro	sulphur	soufre	sulphur	硫黄
sunala	suna	sōlāris	solaire	man, solar	
suno	suno	sol	soleil, Soleil, soleil	sun, Sun, sun, sun	日, ひ, hi, 太陽
sunofrapo			coup de soleil, érythème actinique	sunburn	日焼け
superirar	superi	praecedo, supero	surpasser	surpass	
supo	supo		potage	soup	スープ
surda glotala klozita	glota plozivo, glota halto	occlusiva glottidalis	coup de glotte, consonne occlusive glottale	gottal stop, glottal stop	
Surinam	Surinamo	Surinamia	Surinam, Suriname	Suriname	スリナム
surkruto	saŭrkraŭto		choucroute	sauerkraut	ザワークラウト
suspensar	interrompi		suspendre	suspend	
sutar	kudri		coudre	sew	縫う
Swazilando	Svazilando	Suazia	Swaziland	Swaziland	スワジランド
tabloservistulo	kelnerino		serveuse	waitress	ウェートレス
tacera			taciturne, silencieux	taciturn	
Tagaloga			tagalog	Tagalog	タガログ語
Tailando	Tajlando		Thaïlande	Thailand	タイ
Taiwan	Tajvano	Taivania	Taïwan, République de Chine	Taiwan	台湾
talio	talio	thallium	thallium	thallium	タリウム
tantalo	tantalo	tantalium	tantale	tantalum	タンタル
Tanzania	Tanzanio		Tanzanie, République-Unie de Tanzanie	Tanzania	タンザニア
tapeto	gobelino		tapisserie	tapestry	タペストリー
tarda	malfrue	tarde	en retard, tardivement	late, belatedly	遅刻, 遅い
tarto			tarte	tart	
taso	taso		tasse	cup	カップ
taxuso	taksuso	taxus	if	yew	イチイ, 櫟
tayo			ceinture, taille	waist	胴のくびれ, 腰部, 胴回り
teknecio	teknecio	technetium	technétium	technetium	テクネチウム
tekniko			technique, méthode pratique	technique	
telefonar			téléphoner, appeler	telephone, call, phone, ring, ring up, call up	電話する
telefonilo	telefono		téléphone	telephone, phone	電話
teleskopo	teleskopo		télescope, lunette	telescope	望遠鏡, テレスコープ
televidilo	televido	televisio, televisionis	télévision, télé, téléviseur, téloche	television, television receiver, television set, tv, tv set, idiot box, boob tube, google box	テレビ
telurio	teluro	tellurium	tellure	tellurium	テルル
templo	templo	templum	temple	temple	お寺
temporo	tempio		tempe	temple	顳顬, 蟀谷
tendino			tendon	tendon, sinew	腱
teniso	teniso		tennis	tennis	テニス
Tennessee	Tenesio		Tennessee	Tennessee	テネシー州
teo	teo		thé	tea	茶
terapiala			thérapeutique	therapeutic	
terbio	terbio	terbium	terbium	terbium	テルビウム
teriako				theriac	
terorismo	terorismo	tromocratia	terrorisme	terrorism	テロリズム, テロ
testikulo	testiko	testiculum, cōleus, testis, coleo, testiculus, nefrones, nebrundines, culeus	testicule, couille, gosse	testicle, ball, nut, testis, orchis, ballock, bollock, egg	睾丸, 金玉, 精巣, ホーデン, 陰核, タマキン, きんたま
texto	teksto		texte	text	テキスト, 本書, 本文
tifono	tajfuno	typhonas	typhon	typhoon	台風
timar	timi		avoir peur, craindre, avoir la colique	fear, be afraid, have fear	恐れる, 怖る
tir-kesto		loculus	tiroir	drawer	引き出し, 引出し
tiroido	tiroido		thyroïde, glande thyroïde	thyroid, thyroid gland	甲状腺
titanio	titano	titanium	titane	titanium	チタン
Togo	Togolo, Togolando	Togum	Togo	Togo	トーゴ
Toki Pona	Tokipono	Lingua Toki Pona	toki pona	Toki Pona	トキポナ
tolerar	suferi		supporter, tolérer	bear, digest, endure, stick out, stomach, standtolerate, support, brook, abide, suffer, stand, tolerate, support, brook, abide, suffer, bear with, take	
tomato	tomato	solana lycopersica	tomate	tomato	トマト
tombeyo	tombejo, enterigejo	sepulcretum	cimetière	cemetery, churchyard, cœmetery, graveyard, burial ground	墓地, ぼち
Tonga	Tongo		Tonga	Tonga	トンガ
tonsuro		tonsura; tonsura	tonsure; tonsure	tonsure; Roman tonsure, tonsure	トンスラ
topologio	topologio		topologie	topology	位相幾何学
torio	torio	thorium	thorium	thorium	トリウム
tormento	torturo	cruciāmen, cruciātus	torture	torture	拷問
tradiciono			tradition, coutume	tradition	伝統, でんとう
tradukanto	tradukisto, tradukanto	interpres	traducteur	translator	翻訳者
tradukisto	tradukisto, tradukanto	interpres	traducteur	translator	翻訳者
trampolino	trampolino		trampoline	trampoline	トランポリン
treno	trajno		train, convoi	train	列車
tri	tri	trēs, tres	trois	three	三
triadek	tridek	triginta	trente	thirty	三十
triftongo	triftongo		triphtongue	triphtong	
trigramo			trigraphe	trigraph	三重音字
Trinidad e Tobago	Trinidado kaj Tobago	Trinitas et Tabacum	Trinité-et-Tobago, Trinidad-et-Tobago	Trinidad and Tobago	トリニダード・トバゴ
trista	malgaja	tristis, maestus	triste, affligé, morne, attristé, chagrin, peiné, chagriné	sad, unhappy, doleful, dolorous	悲しい
trofeo	trofeo		trophée	trophy	
trotuaro	trotuaro		trottoir	sidewalk, pavement	歩道
tuberkloso			tuberculose	tuberculosis, TB	結核
tulio	tulio		thulium	thulium	ツリウム
tulipo	tulipo		tulipe	tulip	チューリップ
tundra	tundro		toundra	tundra	ツンドラ
Tunis	Tunizo		Tunis	Tunis	チュニス
Tunizia	Tunizio	Tunesia	Tunisie	Tunisia	チュニジア
tupio	turbo		toupie	spintop, top, spinning top	独楽
Turkia	Turkujo, Turkio		Turquie, République de Turquie	Turkey	トルコ
Turkmenistan	Turkmenio	Turcomannia	Turkménistan	Turkmenistan	トルクメニスタン
Turks e Kaikos-Insuli			Îles Turks et Caïques, Îles Turques et Caïques	Turks and Caicos Islands	タークス・カイコス諸島
turmo	turo; turo	turris	tour; tour	tower; rook, castle	塔, タワー; ルーク
Tuvalu	Tuvalo	Tuvalu	Tuvalu	Tuvalu	ツバル
ube	kie	ubi	où	where	何処
uceleto	birdido	pullus, aucella, avicula	oisillon, poussin	nestling, chick, fledgling	雛
ucelo	birdo	avis	oiseau	bird	鳥, とり
ucelyuno	birdido	pullus, aucella, avicula	oisillon, poussin	nestling, chick, fledgling	雛
Uganda	Ugando		Ouganda	Uganda, Republic of Uganda	ウガンダ
Ukrainia	Ukrainio		Ukraine	Ukraine	ウクライナ
ultimato	ultimato		ultimatum	ultimatum	最後 通牒
un	unu	ūnus, ūna, ūnum	un	one	一
unesma	unua	primus	premier, première	first, 1st	第一, 最初, 初めて, 初, 一番目, 一番
unglo		unguis	ongle	fingernail, nail	爪
Unionita Stati di Amerika	United States, Unuiĝintaj Ŝtatoj de Ameriko	Respublicae Unitae Americae, Status Uniti Americae, Civitates Foederatae Americae	États-Unis d'Amérique, États-Unis	United States, United States of America, America, US, U.S., U.S.A., U.S. of A., States, USA	アメリカ合衆国, 米国, アメリカ
universitato	universitato, universitato, universitato	universitas	université, université, académie, université	university, academy, university, university	大学, 大学, 大学
ununbium	ununbio	ununbium	ununbium	ununbium	ウンウンビウム
uranio	uranio	uranium	uranium	uranium	ウラン
urbestro	urbestro		maire, bourgmestre, maire	mayor	市長, 町長
urbo	urbo, civito	urbs, civitas	ville	city	都市
Uruguay	Urugvajo	Uruguaia	Uruguay	Uruguay	ウルグアイ
Usa	United States, Unuiĝintaj Ŝtatoj de Ameriko	Respublicae Unitae Americae, Status Uniti Americae, Civitates Foederatae Americae	États-Unis d'Amérique, États-Unis	United States, United States of America, America, US, U.S., U.S.A., U.S. of A., States, USA	アメリカ合衆国, 米国, アメリカ
Usana Samoa	Usona Samoo	Samoa Americana	Samoa américaines	American Samoa	アメリカ領サモア
Utah			Utah	Utah	ユタ州
Uzbekistan	Uzbekistano, Uzbekio	Usbecia	Ouzbékistan	Uzbekistan	ウズベキスタン
uzufrukto	ĝuado	ususfructus	usufruit	usufruct	
Vaduz	Vaduzo		Vaduz	Vaduz	ファドゥーツ
vakanco	libertempo	cessatio, feriae	vacances, congé	holiday, opor-garai	休暇, 休み, バカンス, ヴァカンス, バケーション
vakua	malplena		vide	empty	空の
vakuonetigilo	polvosuĉilo	polverem ablator	aspirateur, balayeuse, aspirateur électrique, aspi	vacuum cleaner, hoover, vacuum	掃除機
valizo	valizo	riscus	valise, valoche	case, suitcase	スーツケース
valso	valso		valse	waltz, valse	ワルツ
vanadio	vanado	vanadium	vanadium	vanadium	バナジウム
vango	vango	gena, bucca	joue	cheek	頬
vanilo	vanilo		vanillier	vanilla, vanilla planifolia	
Vanuatu	Vanuatuo	Vanuatu	Vanuatu	Vanuatu	バヌアツ
variar				variegate	
variko	variko		varice	varix, varicose vein	静脈瘤
Vatikano	Vatikanurbo	Civitas Vaticana	État de la Cité du Vatican, Vatican, Saint-Siège	Vatican City, The Holy See, State of the Vatican City	バチカン市国
venar	veni	venire	venir	come, come up	来る
Venezuela	Venezuelo		Venezuela, Vénézuéla, Vénézuéla	Venezuela	ベネズエラ
Venizia	Venecio		Venise	Venice	ヴェネツィア
vento	vento	ventus	vent	wind	風
ventro	ventro	abdomen	ventre, abdomen, bedon, estomac, bide, brioche, panse	belly, abdomen, stomach, venter	腹, 腹部
verda	verda	viridis	vert	green	緑
verdatra	verdeta	pallens	verdâtre	greenish	
verigar	pruvi	demonstrare	prouver, démontrer, établir	prove, demonstrate, establish, show, shew	証明する
veruko	veruko	verrūca, verruca	verrue	wart	イボ
vespero	vespero	vesper	soir, soirée	evening	夜, 晩
vetero	vetero		temps, météo, météorologie	weather	天気, てんき
vi	vi		vous	you, yous, y'all, you lot	
vicemamilo	suĉilo		tétine, tototte, suce, sucette	pacifier, dummy, soother, binky, piece, bo-bo, nookie, comforter	おしゃぶり
Vietnam	Vjetnamio	Vietnamia	Viêt Nam, République socialiste du Viêt Nam	Vietnam	ベトナム
Vikivortaro	Vikivortaro		Wiktionnaire	Wiktionary	ウィクショナリー
vilajo		rus	village	village	村
vino	vino	vinum	vin, wyn	wine	ワイン
vintro	vintro		hiver	winter	冬
violea			pensée, violette, viola	viola	菫
Virgin-Insuli Britana			Îles Vierges britanniques	British Virgin Islands	イギリス領バージン諸島, イギリス領ヴァージン諸島
viskoza			visqueux	viscous	
vit-bero	vinbero	uva	raisin, grain de raisin	grape	葡萄
vitamino	vitamino		vitamine	vitamin	ビタミン
viteyo	vitejo		vignoble, vigne	vineyard, vinery	ブドウ園
vivo-cienco			sciences de la vie	life science	生命科学, ライフサイエンス
vizajo	vizaĝo	facies	face, visage, figure	face	顔
volar	voli	volare, desiderare	vouloir	want	欲しい
volkano	vulkano	mons ignifer; mons ignifer	volcan; volcan	volcano; volcana, volcano	火山; 火山
volkanologio	vulkanologio, vulkanoscienco	vulcanologia	volcanologie, vulcanologie	volcanology, vulcanology	火山学
vortaro	vortaro	dictionarius	dictionnaire, dico	dictionary	辞書
vorto	vorto	vocabulum, verbum	mot	word	言葉, 単語, 言葉, 語
voyajar	vojaĝi		voyager	travel	旅行する
vu esas plezure aceptata	ne dankinde	nihil est, libenter, precare, precamini	de rien, il n'y a pas de quoi, je vous en prie, pas de quoi, bienvenue, je t’en prie, ça me fait plaisir, service, je t'en prie, avec plaisir	you're welcome, no problem, it was nothing, don't worry about it, my pleasure	どういたしまして, いいえ
Wallis e Futuna Insuli	Valiso kaj Futuno		Îles Wallis et Futuna, Wallis-et-Futuna, Territoire des îles Wallis-et-Futuna	Wallis and Futuna, Territory of the Wallis and Futuna Islands	ウォリス・フツナ
Wals	Kimrio		Pays de Galles	Wales	ウェールズ
Wellington	Velingtono		Wellington	Wellington	ウェリントン
westo	okcidento	occidens	ouest	west	西
Wikivortaro	Vikivortaro		Wiktionnaire	Wiktionary	ウィクショナリー
wolframo	tungsteno	wolframium	tungstène, wolfram	tungsten	タングステン
xenono	ksenono	xenon	xénon	xenon	キセノン
xerofito	kserofito		xérophyte	xerophyte, xeric plant	
yarmilo	jarmilo	millennium	millénaire	millennium	千年間, 千年期, 千年紀
yaro	jaro		année, an	year, solar year	太陽年
yen	eno, jeno		yen	yen, Japanese yen	円, 日本円
yes	jes	sic	oui	yes, aye, yeah, yep, ay	はい
yiterbio	iterbio	ytterbium	ytterbium	ytterbium	イッテルビウム
yitrio	itrio	Yttrium	yttrium	yttrium	イットリウム
yolo			yole	yawl	
Yukatan-peninsulo	Jukatano		Péninsule du Yucatán, Yucatan, Yucatán	Yucatán Peninsula, Yucatán	ユカタン半島
yunino	knabino, fraŭlino, junulino	puella, pura, puera	fille	girl	少女, 女の子
yunulo	knabo	puer, adulescens, catulaster	garçon	boy	男の子
Zanzibar	Zanzibaro		Zanzibar	Zanzibar	ザンジバル島
zebro	zebro		zèbre	zebra	しまうま
Zimbabwe	Zimbabvo		Zimbabwe	Zimbabwe, Republic of Zimbabwe	ジンバブエ
zinko	zinko	zincum	zinc	zinc	亜鉛
zirkonio	zirkonio	zirconium	zirconium	zirconium	ジルコニウム
zoologio	zoologio		zoologie	zoology, zoological science	動物学
